Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741287777,2025-03-06 16:02:57,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1741287777,2025-03-06 16:02:57,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br
1741287777,2025-03-06 16:02:57,3,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1741287777,2025-03-06 16:02:57,4,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1741287777,2025-03-06 16:02:57,5,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1741287777,2025-03-06 16:02:57,6,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1741287777,2025-03-06 16:02:57,7,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1741287777,2025-03-06 16:02:57,8,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1741287777,2025-03-06 16:02:57,9,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1741287777,2025-03-06 16:02:57,10,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1741288539,2025-03-06 16:15:39,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1741288539,2025-03-06 16:15:39,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br
1741288539,2025-03-06 16:15:39,3,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1741288539,2025-03-06 16:15:39,4,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1741288539,2025-03-06 16:15:39,5,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1741288539,2025-03-06 16:15:39,6,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1741288539,2025-03-06 16:15:39,7,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1741288539,2025-03-06 16:15:39,8,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1741288539,2025-03-06 16:15:39,9,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1741288539,2025-03-06 16:15:39,10,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1741289437,2025-03-06 16:30:37,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1741289437,2025-03-06 16:30:37,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br
1741289437,2025-03-06 16:30:37,3,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1741289437,2025-03-06 16:30:37,4,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1741289437,2025-03-06 16:30:37,5,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1741289437,2025-03-06 16:30:37,6,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1741289437,2025-03-06 16:30:37,7,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1741289437,2025-03-06 16:30:37,8,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1741289437,2025-03-06 16:30:37,9,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1741289437,2025-03-06 16:30:37,10,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1741290074,2025-03-06 16:41:14,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1741290074,2025-03-06 16:41:14,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br
