Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752167791,2025-07-10 14:16:31,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752167791,2025-07-10 14:16:31,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752167791,2025-07-10 14:16:31,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
1752167791,2025-07-10 14:16:31,4,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1752167791,2025-07-10 14:16:31,5,170.79.213.121,crs2-crs1.bkb.rnp.br,No-IP,No-Hostname
1752167791,2025-07-10 14:16:31,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752168172,2025-07-10 14:22:52,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752168172,2025-07-10 14:22:52,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752168172,2025-07-10 14:22:52,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
1752168172,2025-07-10 14:22:52,4,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1752168172,2025-07-10 14:22:52,5,170.79.213.121,crs2-crs1.bkb.rnp.br,No-IP,No-Hostname
1752168172,2025-07-10 14:22:52,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752168604,2025-07-10 14:30:04,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752168604,2025-07-10 14:30:04,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752168604,2025-07-10 14:30:04,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
1752168604,2025-07-10 14:30:04,4,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1752168604,2025-07-10 14:30:04,5,170.79.213.121,crs2-crs1.bkb.rnp.br,No-IP,No-Hostname
1752168604,2025-07-10 14:30:04,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752170308,2025-07-10 14:58:28,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752170308,2025-07-10 14:58:28,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752170308,2025-07-10 14:58:28,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
1752170308,2025-07-10 14:58:28,4,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1752170308,2025-07-10 14:58:28,5,170.79.213.121,crs2-crs1.bkb.rnp.br,No-IP,No-Hostname
1752170308,2025-07-10 14:58:28,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752170923,2025-07-10 15:08:43,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752170923,2025-07-10 15:08:43,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752170923,2025-07-10 15:08:43,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
1752170923,2025-07-10 15:08:43,4,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1752170923,2025-07-10 15:08:43,5,170.79.213.121,crs2-crs1.bkb.rnp.br,No-IP,No-Hostname
1752170923,2025-07-10 15:08:43,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752171146,2025-07-10 15:12:26,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752171146,2025-07-10 15:12:26,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752171146,2025-07-10 15:12:26,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
1752171146,2025-07-10 15:12:26,4,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1752171146,2025-07-10 15:12:26,5,170.79.213.121,crs2-crs1.bkb.rnp.br,No-IP,No-Hostname
1752171146,2025-07-10 15:12:26,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752174139,2025-07-10 16:02:19,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752174139,2025-07-10 16:02:19,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752174139,2025-07-10 16:02:19,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
1752174139,2025-07-10 16:02:19,4,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1752174139,2025-07-10 16:02:19,5,170.79.213.121,crs2-crs1.bkb.rnp.br,No-IP,No-Hostname
1752174139,2025-07-10 16:02:19,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752174815,2025-07-10 16:13:35,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752174815,2025-07-10 16:13:35,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752174815,2025-07-10 16:13:35,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
1752174815,2025-07-10 16:13:35,4,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1752174815,2025-07-10 16:13:35,5,170.79.213.121,crs2-crs1.bkb.rnp.br,No-IP,No-Hostname
1752174815,2025-07-10 16:13:35,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752175352,2025-07-10 16:22:32,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752175352,2025-07-10 16:22:32,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1752175352,2025-07-10 16:22:32,3,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.212.255,crs1-cpr1-eltsul.bkb.rnp.br
