Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741821703,2025-03-12 20:21:43,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1741821703,2025-03-12 20:21:43,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1741821703,2025-03-12 20:21:43,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1741821703,2025-03-12 20:21:43,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741821703,2025-03-12 20:21:43,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1741821703,2025-03-12 20:21:43,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1741821703,2025-03-12 20:21:43,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1741821703,2025-03-12 20:21:43,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741823710,2025-03-12 20:55:10,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1741823710,2025-03-12 20:55:10,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1741823710,2025-03-12 20:55:10,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1741823710,2025-03-12 20:55:10,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741823710,2025-03-12 20:55:10,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1741823710,2025-03-12 20:55:10,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1741823710,2025-03-12 20:55:10,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1741823710,2025-03-12 20:55:10,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741824155,2025-03-12 21:02:35,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1741824155,2025-03-12 21:02:35,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1741824155,2025-03-12 21:02:35,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1741824155,2025-03-12 21:02:35,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741824155,2025-03-12 21:02:35,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1741824155,2025-03-12 21:02:35,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1741824155,2025-03-12 21:02:35,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1741824155,2025-03-12 21:02:35,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741825925,2025-03-12 21:32:05,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1741825925,2025-03-12 21:32:05,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1741825925,2025-03-12 21:32:05,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1741825925,2025-03-12 21:32:05,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741825925,2025-03-12 21:32:05,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1741825925,2025-03-12 21:32:05,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1741825925,2025-03-12 21:32:05,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1741825925,2025-03-12 21:32:05,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741827250,2025-03-12 21:54:10,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1741827250,2025-03-12 21:54:10,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1741827250,2025-03-12 21:54:10,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1741827250,2025-03-12 21:54:10,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741827250,2025-03-12 21:54:10,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
