Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1745850789,2025-04-28 11:33:09,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1745850789,2025-04-28 11:33:09,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1745850789,2025-04-28 11:33:09,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1745850789,2025-04-28 11:33:09,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1745850789,2025-04-28 11:33:09,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745850789,2025-04-28 11:33:09,6,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745850789,2025-04-28 11:33:09,7,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745850789,2025-04-28 11:33:09,8,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1745850789,2025-04-28 11:33:09,9,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1745851253,2025-04-28 11:40:53,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1745851253,2025-04-28 11:40:53,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1745851253,2025-04-28 11:40:53,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1745851253,2025-04-28 11:40:53,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1745851253,2025-04-28 11:40:53,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745851253,2025-04-28 11:40:53,6,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745851253,2025-04-28 11:40:53,7,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745851253,2025-04-28 11:40:53,8,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1745851253,2025-04-28 11:40:53,9,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1745852215,2025-04-28 11:56:55,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1745852215,2025-04-28 11:56:55,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1745852215,2025-04-28 11:56:55,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1745852215,2025-04-28 11:56:55,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1745852215,2025-04-28 11:56:55,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
