Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1742246193,2025-03-17 18:16:33,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742246193,2025-03-17 18:16:33,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742246193,2025-03-17 18:16:33,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742246193,2025-03-17 18:16:33,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742246193,2025-03-17 18:16:33,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742246193,2025-03-17 18:16:33,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742246193,2025-03-17 18:16:33,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742246193,2025-03-17 18:16:33,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742247061,2025-03-17 18:31:01,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742247061,2025-03-17 18:31:01,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742247061,2025-03-17 18:31:01,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742247061,2025-03-17 18:31:01,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742247061,2025-03-17 18:31:01,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742247061,2025-03-17 18:31:01,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742247061,2025-03-17 18:31:01,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742247061,2025-03-17 18:31:01,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742248093,2025-03-17 18:48:13,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742248093,2025-03-17 18:48:13,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742248093,2025-03-17 18:48:13,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742248093,2025-03-17 18:48:13,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742248093,2025-03-17 18:48:13,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742248093,2025-03-17 18:48:13,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742248093,2025-03-17 18:48:13,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742248093,2025-03-17 18:48:13,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742250320,2025-03-17 19:25:20,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742250320,2025-03-17 19:25:20,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742250320,2025-03-17 19:25:20,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742250320,2025-03-17 19:25:20,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742250320,2025-03-17 19:25:20,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742250320,2025-03-17 19:25:20,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742250320,2025-03-17 19:25:20,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742250320,2025-03-17 19:25:20,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742251287,2025-03-17 19:41:27,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742251287,2025-03-17 19:41:27,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742251287,2025-03-17 19:41:27,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742251287,2025-03-17 19:41:27,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742251287,2025-03-17 19:41:27,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742251287,2025-03-17 19:41:27,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742251287,2025-03-17 19:41:27,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742251287,2025-03-17 19:41:27,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742252982,2025-03-17 20:09:42,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742252982,2025-03-17 20:09:42,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742252982,2025-03-17 20:09:42,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742252982,2025-03-17 20:09:42,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742252982,2025-03-17 20:09:42,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742252982,2025-03-17 20:09:42,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742252982,2025-03-17 20:09:42,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742252982,2025-03-17 20:09:42,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742253804,2025-03-17 20:23:24,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742253804,2025-03-17 20:23:24,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742253804,2025-03-17 20:23:24,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742253804,2025-03-17 20:23:24,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742253804,2025-03-17 20:23:24,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742253804,2025-03-17 20:23:24,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742253804,2025-03-17 20:23:24,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742253804,2025-03-17 20:23:24,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742254203,2025-03-17 20:30:03,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742254203,2025-03-17 20:30:03,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742254203,2025-03-17 20:30:03,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742254203,2025-03-17 20:30:03,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742254203,2025-03-17 20:30:03,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742254203,2025-03-17 20:30:03,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742254203,2025-03-17 20:30:03,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742254203,2025-03-17 20:30:03,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742254714,2025-03-17 20:38:34,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742254714,2025-03-17 20:38:34,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742254714,2025-03-17 20:38:34,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742254714,2025-03-17 20:38:34,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1742254714,2025-03-17 20:38:34,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742254714,2025-03-17 20:38:34,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742254714,2025-03-17 20:38:34,7,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742254714,2025-03-17 20:38:34,8,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742255303,2025-03-17 20:48:23,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742255303,2025-03-17 20:48:23,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742255303,2025-03-17 20:48:23,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742255303,2025-03-17 20:48:23,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
