Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744644331,2025-04-14 12:25:31,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744644331,2025-04-14 12:25:31,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744644331,2025-04-14 12:25:31,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744644331,2025-04-14 12:25:31,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1744644331,2025-04-14 12:25:31,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1744644331,2025-04-14 12:25:31,6,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1744644331,2025-04-14 12:25:31,7,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1744644331,2025-04-14 12:25:31,8,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1744644565,2025-04-14 12:29:25,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744644565,2025-04-14 12:29:25,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744644565,2025-04-14 12:29:25,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744644565,2025-04-14 12:29:25,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1744644565,2025-04-14 12:29:25,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1744644565,2025-04-14 12:29:25,6,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1744644565,2025-04-14 12:29:25,7,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1744644565,2025-04-14 12:29:25,8,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
