Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1748531043,2025-05-29 12:04:03,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1748531043,2025-05-29 12:04:03,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1748531043,2025-05-29 12:04:03,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1748531043,2025-05-29 12:04:03,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1748531043,2025-05-29 12:04:03,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1748531043,2025-05-29 12:04:03,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1748531043,2025-05-29 12:04:03,7,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1748531043,2025-05-29 12:04:03,8,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1748531043,2025-05-29 12:04:03,9,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1748531043,2025-05-29 12:04:03,10,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1748531745,2025-05-29 12:15:45,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1748531745,2025-05-29 12:15:45,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1748531745,2025-05-29 12:15:45,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1748531745,2025-05-29 12:15:45,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1748531745,2025-05-29 12:15:45,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1748531745,2025-05-29 12:15:45,6,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1748531745,2025-05-29 12:15:45,7,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1748531745,2025-05-29 12:15:45,8,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1748531745,2025-05-29 12:15:45,9,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1748531745,2025-05-29 12:15:45,10,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1748532702,2025-05-29 12:31:42,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1748532702,2025-05-29 12:31:42,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1748532702,2025-05-29 12:31:42,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1748532702,2025-05-29 12:31:42,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1748532702,2025-05-29 12:31:42,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1748532702,2025-05-29 12:31:42,6,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748532702,2025-05-29 12:31:42,7,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1748532702,2025-05-29 12:31:42,8,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1748532702,2025-05-29 12:31:42,9,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1748532702,2025-05-29 12:31:42,10,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1748533812,2025-05-29 12:50:12,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1748533812,2025-05-29 12:50:12,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1748533812,2025-05-29 12:50:12,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1748533812,2025-05-29 12:50:12,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.182,mxms-cmt1-telebras.bkb.rnp.br
1748533812,2025-05-29 12:50:12,5,170.79.213.182,mxms-cmt1-telebras.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1748533812,2025-05-29 12:50:12,6,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1748533812,2025-05-29 12:50:12,7,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.96,cdf1-csp1-claro.bkb.rnp.br
