Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1742911147,2025-03-25 10:59:07,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742911147,2025-03-25 10:59:07,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742911147,2025-03-25 10:59:07,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742911147,2025-03-25 10:59:07,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.182,mxms-cmt1-telebras.bkb.rnp.br
1742911147,2025-03-25 10:59:07,5,170.79.213.182,mxms-cmt1-telebras.bkb.rnp.br,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br
1742911147,2025-03-25 10:59:07,6,170.79.213.54,mxgo-mxms-brdigital.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1742911147,2025-03-25 10:59:07,7,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1742911147,2025-03-25 10:59:07,8,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1742911147,2025-03-25 10:59:07,9,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1742911147,2025-03-25 10:59:07,10,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
1742912673,2025-03-25 11:24:33,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742912673,2025-03-25 11:24:33,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742912673,2025-03-25 11:24:33,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742912673,2025-03-25 11:24:33,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742912673,2025-03-25 11:24:33,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1742912673,2025-03-25 11:24:33,6,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1742912673,2025-03-25 11:24:33,7,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1742912673,2025-03-25 11:24:33,8,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
1742913016,2025-03-25 11:30:16,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742913016,2025-03-25 11:30:16,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742913016,2025-03-25 11:30:16,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742913016,2025-03-25 11:30:16,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742913016,2025-03-25 11:30:16,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1742913016,2025-03-25 11:30:16,6,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1742913016,2025-03-25 11:30:16,7,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1742913016,2025-03-25 11:30:16,8,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
1742913734,2025-03-25 11:42:14,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1742913734,2025-03-25 11:42:14,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1742913734,2025-03-25 11:42:14,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1742913734,2025-03-25 11:42:14,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742913734,2025-03-25 11:42:14,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1742913734,2025-03-25 11:42:14,6,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1742913734,2025-03-25 11:42:14,7,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1742913734,2025-03-25 11:42:14,8,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
