Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743430074,2025-03-31 11:07:54,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743430074,2025-03-31 11:07:54,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743430074,2025-03-31 11:07:54,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743430074,2025-03-31 11:07:54,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1743430074,2025-03-31 11:07:54,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1743430074,2025-03-31 11:07:54,6,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1743430074,2025-03-31 11:07:54,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743430074,2025-03-31 11:07:54,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743430074,2025-03-31 11:07:54,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743430074,2025-03-31 11:07:54,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743431080,2025-03-31 11:24:40,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743431080,2025-03-31 11:24:40,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743431080,2025-03-31 11:24:40,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743431080,2025-03-31 11:24:40,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1743431080,2025-03-31 11:24:40,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1743431080,2025-03-31 11:24:40,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1743431080,2025-03-31 11:24:40,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743431080,2025-03-31 11:24:40,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743431080,2025-03-31 11:24:40,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743431080,2025-03-31 11:24:40,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743431637,2025-03-31 11:33:57,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743431637,2025-03-31 11:33:57,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743431637,2025-03-31 11:33:57,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743431637,2025-03-31 11:33:57,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1743431637,2025-03-31 11:33:57,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1743431637,2025-03-31 11:33:57,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1743431637,2025-03-31 11:33:57,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743431637,2025-03-31 11:33:57,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743431637,2025-03-31 11:33:57,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743431637,2025-03-31 11:33:57,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743432218,2025-03-31 11:43:38,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743432218,2025-03-31 11:43:38,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743432218,2025-03-31 11:43:38,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743432218,2025-03-31 11:43:38,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1743432218,2025-03-31 11:43:38,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1743432218,2025-03-31 11:43:38,6,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1743432218,2025-03-31 11:43:38,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743432218,2025-03-31 11:43:38,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743432218,2025-03-31 11:43:38,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743432218,2025-03-31 11:43:38,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743432516,2025-03-31 11:48:36,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743432516,2025-03-31 11:48:36,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743432516,2025-03-31 11:48:36,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743432516,2025-03-31 11:48:36,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1743432516,2025-03-31 11:48:36,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1743432516,2025-03-31 11:48:36,6,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1743432516,2025-03-31 11:48:36,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743432516,2025-03-31 11:48:36,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743432516,2025-03-31 11:48:36,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743432516,2025-03-31 11:48:36,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743433155,2025-03-31 11:59:15,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743433155,2025-03-31 11:59:15,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743433155,2025-03-31 11:59:15,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743433155,2025-03-31 11:59:15,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1743433155,2025-03-31 11:59:15,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1743433155,2025-03-31 11:59:15,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1743433155,2025-03-31 11:59:15,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743433155,2025-03-31 11:59:15,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743433155,2025-03-31 11:59:15,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743433155,2025-03-31 11:59:15,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743434352,2025-03-31 12:19:12,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743434352,2025-03-31 12:19:12,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743434352,2025-03-31 12:19:12,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743434352,2025-03-31 12:19:12,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1743434352,2025-03-31 12:19:12,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1743434352,2025-03-31 12:19:12,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1743434352,2025-03-31 12:19:12,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743434352,2025-03-31 12:19:12,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743434352,2025-03-31 12:19:12,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743434352,2025-03-31 12:19:12,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743434887,2025-03-31 12:28:07,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743434887,2025-03-31 12:28:07,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743434887,2025-03-31 12:28:07,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743434887,2025-03-31 12:28:07,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1743434887,2025-03-31 12:28:07,5,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1743434887,2025-03-31 12:28:07,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1743434887,2025-03-31 12:28:07,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743434887,2025-03-31 12:28:07,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743434887,2025-03-31 12:28:07,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743434887,2025-03-31 12:28:07,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743435754,2025-03-31 12:42:34,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1743435754,2025-03-31 12:42:34,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1743435754,2025-03-31 12:42:34,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1743435754,2025-03-31 12:42:34,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
