Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1749861594,2025-06-13 21:39:54,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1749861594,2025-06-13 21:39:54,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1749861594,2025-06-13 21:39:54,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1749861594,2025-06-13 21:39:54,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1749861594,2025-06-13 21:39:54,5,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1749861594,2025-06-13 21:39:54,6,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1749861594,2025-06-13 21:39:54,7,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.138,cce1-cce2.bkb.rnp.br
1749861594,2025-06-13 21:39:54,8,170.79.213.138,cce1-cce2.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1749861594,2025-06-13 21:39:54,9,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1749861594,2025-06-13 21:39:54,10,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1749862466,2025-06-13 21:54:26,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1749862466,2025-06-13 21:54:26,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1749862466,2025-06-13 21:54:26,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1749862466,2025-06-13 21:54:26,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
