Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741426594,2025-03-08 06:36:34,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741426594,2025-03-08 06:36:34,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741426594,2025-03-08 06:36:34,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741426594,2025-03-08 06:36:34,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741426594,2025-03-08 06:36:34,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741426594,2025-03-08 06:36:34,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741427263,2025-03-08 06:47:43,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741427263,2025-03-08 06:47:43,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741427263,2025-03-08 06:47:43,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741427263,2025-03-08 06:47:43,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741427263,2025-03-08 06:47:43,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741427263,2025-03-08 06:47:43,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741427809,2025-03-08 06:56:49,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741427809,2025-03-08 06:56:49,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741427809,2025-03-08 06:56:49,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741427809,2025-03-08 06:56:49,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741427809,2025-03-08 06:56:49,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741427809,2025-03-08 06:56:49,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741428671,2025-03-08 07:11:11,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741428671,2025-03-08 07:11:11,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741428671,2025-03-08 07:11:11,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741428671,2025-03-08 07:11:11,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741428671,2025-03-08 07:11:11,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741428671,2025-03-08 07:11:11,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741429443,2025-03-08 07:24:03,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741429443,2025-03-08 07:24:03,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741429443,2025-03-08 07:24:03,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741429443,2025-03-08 07:24:03,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741429443,2025-03-08 07:24:03,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741429443,2025-03-08 07:24:03,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741429978,2025-03-08 07:32:58,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741429978,2025-03-08 07:32:58,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741429978,2025-03-08 07:32:58,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741429978,2025-03-08 07:32:58,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741429978,2025-03-08 07:32:58,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741429978,2025-03-08 07:32:58,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741431065,2025-03-08 07:51:05,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741431065,2025-03-08 07:51:05,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741431065,2025-03-08 07:51:05,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741431065,2025-03-08 07:51:05,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741431065,2025-03-08 07:51:05,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741431065,2025-03-08 07:51:05,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741431621,2025-03-08 08:00:21,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741431621,2025-03-08 08:00:21,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741431621,2025-03-08 08:00:21,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741431621,2025-03-08 08:00:21,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741431621,2025-03-08 08:00:21,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741431621,2025-03-08 08:00:21,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741432088,2025-03-08 08:08:08,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741432088,2025-03-08 08:08:08,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741432088,2025-03-08 08:08:08,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741432088,2025-03-08 08:08:08,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741432088,2025-03-08 08:08:08,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741432088,2025-03-08 08:08:08,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741432804,2025-03-08 08:20:04,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741432804,2025-03-08 08:20:04,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741432804,2025-03-08 08:20:04,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741432804,2025-03-08 08:20:04,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741432804,2025-03-08 08:20:04,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741432804,2025-03-08 08:20:04,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741433689,2025-03-08 08:34:49,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741433689,2025-03-08 08:34:49,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741433689,2025-03-08 08:34:49,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741433689,2025-03-08 08:34:49,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741433689,2025-03-08 08:34:49,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname
1741433689,2025-03-08 08:34:49,6,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1741434159,2025-03-08 08:42:39,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
