Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741703360,2025-03-11 11:29:20,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741703360,2025-03-11 11:29:20,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741703360,2025-03-11 11:29:20,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1741703360,2025-03-11 11:29:20,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741703360,2025-03-11 11:29:20,5,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1741703360,2025-03-11 11:29:20,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1741703360,2025-03-11 11:29:20,7,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1741703360,2025-03-11 11:29:20,8,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1741704205,2025-03-11 11:43:25,1,200.129.149.1,gateway,200.143.255.213,No-Hostname
1741704205,2025-03-11 11:43:25,2,200.143.255.213,No-Hostname,170.79.214.40,cpa1-bpa1.bkb.rnp.br
1741704205,2025-03-11 11:43:25,3,170.79.214.40,cpa1-bpa1.bkb.rnp.br,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br
1741704205,2025-03-11 11:43:25,4,170.79.213.82,cap1-cpa1-tlb.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1741704205,2025-03-11 11:43:25,5,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
