Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744638385,2025-04-14 10:46:25,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744638385,2025-04-14 10:46:25,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744638385,2025-04-14 10:46:25,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744638385,2025-04-14 10:46:25,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744638385,2025-04-14 10:46:25,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.23,crr1-cce1-oi.bkb.rnp.br
1744638385,2025-04-14 10:46:25,6,170.79.213.23,crr1-cce1-oi.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744638385,2025-04-14 10:46:25,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744638385,2025-04-14 10:46:25,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744638385,2025-04-14 10:46:25,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744639002,2025-04-14 10:56:42,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744639002,2025-04-14 10:56:42,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744639002,2025-04-14 10:56:42,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744639002,2025-04-14 10:56:42,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744639002,2025-04-14 10:56:42,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.23,crr1-cce1-oi.bkb.rnp.br
1744639002,2025-04-14 10:56:42,6,170.79.213.23,crr1-cce1-oi.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744639002,2025-04-14 10:56:42,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744639002,2025-04-14 10:56:42,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,No-IP,No-Hostname
1744639002,2025-04-14 10:56:42,9,No-IP,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744639908,2025-04-14 11:11:48,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744639908,2025-04-14 11:11:48,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744639908,2025-04-14 11:11:48,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744639908,2025-04-14 11:11:48,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1744639908,2025-04-14 11:11:48,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1744639908,2025-04-14 11:11:48,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1744639908,2025-04-14 11:11:48,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1744639908,2025-04-14 11:11:48,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744640272,2025-04-14 11:17:52,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744640272,2025-04-14 11:17:52,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744640272,2025-04-14 11:17:52,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744640272,2025-04-14 11:17:52,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1744640272,2025-04-14 11:17:52,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1744640272,2025-04-14 11:17:52,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1744640272,2025-04-14 11:17:52,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1744640272,2025-04-14 11:17:52,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744641046,2025-04-14 11:30:46,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744641046,2025-04-14 11:30:46,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744641046,2025-04-14 11:30:46,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744641046,2025-04-14 11:30:46,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1744641046,2025-04-14 11:30:46,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1744641046,2025-04-14 11:30:46,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1744641046,2025-04-14 11:30:46,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1744641046,2025-04-14 11:30:46,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744641445,2025-04-14 11:37:25,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744641445,2025-04-14 11:37:25,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744641445,2025-04-14 11:37:25,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744641445,2025-04-14 11:37:25,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1744641445,2025-04-14 11:37:25,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1744641445,2025-04-14 11:37:25,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1744641445,2025-04-14 11:37:25,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1744641445,2025-04-14 11:37:25,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744642088,2025-04-14 11:48:08,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744642088,2025-04-14 11:48:08,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744642088,2025-04-14 11:48:08,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744642088,2025-04-14 11:48:08,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1744642088,2025-04-14 11:48:08,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1744642088,2025-04-14 11:48:08,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1744642088,2025-04-14 11:48:08,7,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1744642088,2025-04-14 11:48:08,8,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744642676,2025-04-14 11:57:56,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744642676,2025-04-14 11:57:56,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744642676,2025-04-14 11:57:56,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744642676,2025-04-14 11:57:56,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.177,cpi1-cba1-chesf.bkb.rnp.br
1744642676,2025-04-14 11:57:56,5,170.79.213.177,cpi1-cba1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1744642676,2025-04-14 11:57:56,6,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1744642676,2025-04-14 11:57:56,7,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br
1744642676,2025-04-14 11:57:56,8,170.79.213.253,mxam-cdf1-3g-sitelbra.bkb.rnp.br,200.129.156.126,No-Hostname
1744642676,2025-04-14 11:57:56,9,200.129.156.126,No-Hostname,No-IP,No-Hostname
1744642676,2025-04-14 11:57:56,10,No-IP,No-Hostname,No-IP,No-Hostname
1744642676,2025-04-14 11:57:56,11,No-IP,No-Hostname,No-IP,No-Hostname
1744642676,2025-04-14 11:57:56,12,No-IP,No-Hostname,No-IP,No-Hostname
1744642676,2025-04-14 11:57:56,13,No-IP,No-Hostname,No-IP,No-Hostname
1744642676,2025-04-14 11:57:56,14,No-IP,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744643433,2025-04-14 12:10:33,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744643433,2025-04-14 12:10:33,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744643433,2025-04-14 12:10:33,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744643433,2025-04-14 12:10:33,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744643433,2025-04-14 12:10:33,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744643433,2025-04-14 12:10:33,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744643433,2025-04-14 12:10:33,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744643433,2025-04-14 12:10:33,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744643433,2025-04-14 12:10:33,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744644067,2025-04-14 12:21:07,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744644067,2025-04-14 12:21:07,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744644067,2025-04-14 12:21:07,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744644067,2025-04-14 12:21:07,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744644067,2025-04-14 12:21:07,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744644067,2025-04-14 12:21:07,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744644067,2025-04-14 12:21:07,7,170.79.213.131,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1744644067,2025-04-14 12:21:07,8,No-IP,No-Hostname,200.129.156.126,No-Hostname
1744644067,2025-04-14 12:21:07,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744644459,2025-04-14 12:27:39,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744644459,2025-04-14 12:27:39,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744644459,2025-04-14 12:27:39,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744644459,2025-04-14 12:27:39,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744644459,2025-04-14 12:27:39,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744644459,2025-04-14 12:27:39,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744644459,2025-04-14 12:27:39,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744644459,2025-04-14 12:27:39,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744644459,2025-04-14 12:27:39,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744645514,2025-04-14 12:45:14,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744645514,2025-04-14 12:45:14,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744645514,2025-04-14 12:45:14,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744645514,2025-04-14 12:45:14,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744645514,2025-04-14 12:45:14,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744645514,2025-04-14 12:45:14,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744645514,2025-04-14 12:45:14,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744645514,2025-04-14 12:45:14,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744645514,2025-04-14 12:45:14,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744645886,2025-04-14 12:51:26,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744645886,2025-04-14 12:51:26,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744645886,2025-04-14 12:51:26,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744645886,2025-04-14 12:51:26,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744645886,2025-04-14 12:51:26,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744645886,2025-04-14 12:51:26,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744645886,2025-04-14 12:51:26,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744645886,2025-04-14 12:51:26,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744645886,2025-04-14 12:51:26,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744646263,2025-04-14 12:57:43,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744646263,2025-04-14 12:57:43,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744646263,2025-04-14 12:57:43,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744646263,2025-04-14 12:57:43,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744646263,2025-04-14 12:57:43,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744646263,2025-04-14 12:57:43,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744646263,2025-04-14 12:57:43,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744646263,2025-04-14 12:57:43,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744646263,2025-04-14 12:57:43,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744646934,2025-04-14 13:08:54,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744646934,2025-04-14 13:08:54,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744646934,2025-04-14 13:08:54,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744646934,2025-04-14 13:08:54,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744646934,2025-04-14 13:08:54,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744646934,2025-04-14 13:08:54,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744646934,2025-04-14 13:08:54,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744646934,2025-04-14 13:08:54,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744646934,2025-04-14 13:08:54,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744647754,2025-04-14 13:22:34,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744647754,2025-04-14 13:22:34,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744647754,2025-04-14 13:22:34,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744647754,2025-04-14 13:22:34,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744647754,2025-04-14 13:22:34,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744647754,2025-04-14 13:22:34,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744647754,2025-04-14 13:22:34,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744647754,2025-04-14 13:22:34,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744647754,2025-04-14 13:22:34,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744648027,2025-04-14 13:27:07,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744648027,2025-04-14 13:27:07,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744648027,2025-04-14 13:27:07,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1744648027,2025-04-14 13:27:07,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1744648027,2025-04-14 13:27:07,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1744648027,2025-04-14 13:27:07,6,170.79.213.33,crr1-cce1.bkb.rnp.br,170.79.213.131,crr2-crr1.bkb.rnp.br
1744648027,2025-04-14 13:27:07,7,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1744648027,2025-04-14 13:27:07,8,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,200.129.156.126,No-Hostname
1744648027,2025-04-14 13:27:07,9,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br
1744648913,2025-04-14 13:41:53,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1744648913,2025-04-14 13:41:53,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1744648913,2025-04-14 13:41:53,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
