Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1740522116,2025-02-25 19:21:56,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1740522116,2025-02-25 19:21:56,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1740522116,2025-02-25 19:21:56,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740522116,2025-02-25 19:21:56,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1740522116,2025-02-25 19:21:56,5,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1740522116,2025-02-25 19:21:56,6,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1740522116,2025-02-25 19:21:56,7,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1740522522,2025-02-25 19:28:42,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1740522522,2025-02-25 19:28:42,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1740522522,2025-02-25 19:28:42,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740522522,2025-02-25 19:28:42,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1740522522,2025-02-25 19:28:42,5,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1740522522,2025-02-25 19:28:42,6,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1740522522,2025-02-25 19:28:42,7,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1740523203,2025-02-25 19:40:03,1,200.129.75.254,gateway,192.168.75.1,No-Hostname
1740523203,2025-02-25 19:40:03,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br
1740523203,2025-02-25 19:40:03,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740523203,2025-02-25 19:40:03,4,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
