Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1739884935,2025-02-18 10:22:15,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1739884935,2025-02-18 10:22:15,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1739884935,2025-02-18 10:22:15,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1739884935,2025-02-18 10:22:15,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1739884935,2025-02-18 10:22:15,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1739884935,2025-02-18 10:22:15,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1739884935,2025-02-18 10:22:15,7,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1739884935,2025-02-18 10:22:15,8,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1739885747,2025-02-18 10:35:47,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1739885747,2025-02-18 10:35:47,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1739885747,2025-02-18 10:35:47,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1739885747,2025-02-18 10:35:47,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1739885747,2025-02-18 10:35:47,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1739885747,2025-02-18 10:35:47,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1739885747,2025-02-18 10:35:47,7,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1739885747,2025-02-18 10:35:47,8,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1739886163,2025-02-18 10:42:43,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1739886163,2025-02-18 10:42:43,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1739886163,2025-02-18 10:42:43,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1739886163,2025-02-18 10:42:43,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1739886163,2025-02-18 10:42:43,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1739886163,2025-02-18 10:42:43,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1739886163,2025-02-18 10:42:43,7,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1739886163,2025-02-18 10:42:43,8,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1739886984,2025-02-18 10:56:24,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1739886984,2025-02-18 10:56:24,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1739886984,2025-02-18 10:56:24,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1739886984,2025-02-18 10:56:24,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1739886984,2025-02-18 10:56:24,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1739886984,2025-02-18 10:56:24,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1739886984,2025-02-18 10:56:24,7,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1739886984,2025-02-18 10:56:24,8,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1739887299,2025-02-18 11:01:39,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1739887299,2025-02-18 11:01:39,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1739887299,2025-02-18 11:01:39,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1739887299,2025-02-18 11:01:39,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1739887299,2025-02-18 11:01:39,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1739887299,2025-02-18 11:01:39,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1739887299,2025-02-18 11:01:39,7,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1739887299,2025-02-18 11:01:39,8,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1739887877,2025-02-18 11:11:17,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1739887877,2025-02-18 11:11:17,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1739887877,2025-02-18 11:11:17,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1739887877,2025-02-18 11:11:17,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
