Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752508158,2025-07-14 12:49:18,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1752508158,2025-07-14 12:49:18,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1752508158,2025-07-14 12:49:18,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1752508158,2025-07-14 12:49:18,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1752508158,2025-07-14 12:49:18,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752508158,2025-07-14 12:49:18,6,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br
1752508158,2025-07-14 12:49:18,7,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1752508158,2025-07-14 12:49:18,8,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1752508158,2025-07-14 12:49:18,9,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1752508863,2025-07-14 13:01:03,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1752508863,2025-07-14 13:01:03,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1752508863,2025-07-14 13:01:03,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1752508863,2025-07-14 13:01:03,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1752508863,2025-07-14 13:01:03,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752508863,2025-07-14 13:01:03,6,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br
