Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1745623567,2025-04-25 20:26:07,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745623567,2025-04-25 20:26:07,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745623567,2025-04-25 20:26:07,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745623567,2025-04-25 20:26:07,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745623567,2025-04-25 20:26:07,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745623567,2025-04-25 20:26:07,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745623567,2025-04-25 20:26:07,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745624170,2025-04-25 20:36:10,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745624170,2025-04-25 20:36:10,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745624170,2025-04-25 20:36:10,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745624170,2025-04-25 20:36:10,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745624170,2025-04-25 20:36:10,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745624170,2025-04-25 20:36:10,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745624170,2025-04-25 20:36:10,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745624788,2025-04-25 20:46:28,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745624788,2025-04-25 20:46:28,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745624788,2025-04-25 20:46:28,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745624788,2025-04-25 20:46:28,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745624788,2025-04-25 20:46:28,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745624788,2025-04-25 20:46:28,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745624788,2025-04-25 20:46:28,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745625733,2025-04-25 21:02:13,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745625733,2025-04-25 21:02:13,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745625733,2025-04-25 21:02:13,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745625733,2025-04-25 21:02:13,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745625733,2025-04-25 21:02:13,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745625733,2025-04-25 21:02:13,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745625733,2025-04-25 21:02:13,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745626478,2025-04-25 21:14:38,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745626478,2025-04-25 21:14:38,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745626478,2025-04-25 21:14:38,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745626478,2025-04-25 21:14:38,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745626478,2025-04-25 21:14:38,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745626478,2025-04-25 21:14:38,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745626478,2025-04-25 21:14:38,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745626875,2025-04-25 21:21:15,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745626875,2025-04-25 21:21:15,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745626875,2025-04-25 21:21:15,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745626875,2025-04-25 21:21:15,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745626875,2025-04-25 21:21:15,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745626875,2025-04-25 21:21:15,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745626875,2025-04-25 21:21:15,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745627661,2025-04-25 21:34:21,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745627661,2025-04-25 21:34:21,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745627661,2025-04-25 21:34:21,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745627661,2025-04-25 21:34:21,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745627661,2025-04-25 21:34:21,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745627661,2025-04-25 21:34:21,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745627661,2025-04-25 21:34:21,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745628147,2025-04-25 21:42:27,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745628147,2025-04-25 21:42:27,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745628147,2025-04-25 21:42:27,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745628147,2025-04-25 21:42:27,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745628147,2025-04-25 21:42:27,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745628147,2025-04-25 21:42:27,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745628147,2025-04-25 21:42:27,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745628545,2025-04-25 21:49:05,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1745628545,2025-04-25 21:49:05,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1745628545,2025-04-25 21:49:05,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1745628545,2025-04-25 21:49:05,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1745628545,2025-04-25 21:49:05,5,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1745628545,2025-04-25 21:49:05,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1745628545,2025-04-25 21:49:05,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1745629424,2025-04-25 22:03:44,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
