Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1746020403,2025-04-30 10:40:03,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1746020403,2025-04-30 10:40:03,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1746020403,2025-04-30 10:40:03,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1746020403,2025-04-30 10:40:03,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1746020403,2025-04-30 10:40:03,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1746020403,2025-04-30 10:40:03,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1746020403,2025-04-30 10:40:03,7,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1746020403,2025-04-30 10:40:03,8,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1746020403,2025-04-30 10:40:03,9,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746021443,2025-04-30 10:57:23,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1746021443,2025-04-30 10:57:23,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1746021443,2025-04-30 10:57:23,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1746021443,2025-04-30 10:57:23,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1746021443,2025-04-30 10:57:23,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1746021443,2025-04-30 10:57:23,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1746021443,2025-04-30 10:57:23,7,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1746021443,2025-04-30 10:57:23,8,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1746021443,2025-04-30 10:57:23,9,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746021719,2025-04-30 11:01:59,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1746021719,2025-04-30 11:01:59,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1746021719,2025-04-30 11:01:59,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1746021719,2025-04-30 11:01:59,4,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1746021719,2025-04-30 11:01:59,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1746021719,2025-04-30 11:01:59,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1746021719,2025-04-30 11:01:59,7,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1746021719,2025-04-30 11:01:59,8,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1746021719,2025-04-30 11:01:59,9,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746022377,2025-04-30 11:12:57,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1746022377,2025-04-30 11:12:57,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1746022377,2025-04-30 11:12:57,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.26,cal1-cpe1-chesf.bkb.rnp.br
1746022377,2025-04-30 11:12:57,4,170.79.213.26,cal1-cpe1-chesf.bkb.rnp.br,170.79.213.42,mxse-cal1-chesf.bkb.rnp.br
1746022377,2025-04-30 11:12:57,5,170.79.213.42,mxse-cal1-chesf.bkb.rnp.br,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1746022377,2025-04-30 11:12:57,6,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746022377,2025-04-30 11:12:57,7,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br
1746022377,2025-04-30 11:12:57,8,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br
1746022377,2025-04-30 11:12:57,9,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1746022377,2025-04-30 11:12:57,10,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1746022377,2025-04-30 11:12:57,11,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746022956,2025-04-30 11:22:36,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1746022956,2025-04-30 11:22:36,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1746022956,2025-04-30 11:22:36,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.26,cal1-cpe1-chesf.bkb.rnp.br
1746022956,2025-04-30 11:22:36,4,170.79.213.26,cal1-cpe1-chesf.bkb.rnp.br,170.79.213.42,mxse-cal1-chesf.bkb.rnp.br
1746022956,2025-04-30 11:22:36,5,170.79.213.42,mxse-cal1-chesf.bkb.rnp.br,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1746022956,2025-04-30 11:22:36,6,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746022956,2025-04-30 11:22:36,7,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br
1746022956,2025-04-30 11:22:36,8,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br
1746022956,2025-04-30 11:22:36,9,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1746022956,2025-04-30 11:22:36,10,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1746022956,2025-04-30 11:22:36,11,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746023549,2025-04-30 11:32:29,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1746023549,2025-04-30 11:32:29,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1746023549,2025-04-30 11:32:29,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.26,cal1-cpe1-chesf.bkb.rnp.br
1746023549,2025-04-30 11:32:29,4,170.79.213.26,cal1-cpe1-chesf.bkb.rnp.br,170.79.213.42,mxse-cal1-chesf.bkb.rnp.br
1746023549,2025-04-30 11:32:29,5,170.79.213.42,mxse-cal1-chesf.bkb.rnp.br,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1746023549,2025-04-30 11:32:29,6,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746023549,2025-04-30 11:32:29,7,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br
1746023549,2025-04-30 11:32:29,8,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br
1746023549,2025-04-30 11:32:29,9,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1746023549,2025-04-30 11:32:29,10,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1746023549,2025-04-30 11:32:29,11,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746024304,2025-04-30 11:45:04,1,200.133.0.33,gateway,200.133.31.236,No-Hostname
1746024304,2025-04-30 11:45:04,2,200.133.31.236,No-Hostname,170.79.214.88,cpe1-bpe1.bkb.rnp.br
1746024304,2025-04-30 11:45:04,3,170.79.214.88,cpe1-bpe1.bkb.rnp.br,170.79.213.26,cal1-cpe1-chesf.bkb.rnp.br
1746024304,2025-04-30 11:45:04,4,170.79.213.26,cal1-cpe1-chesf.bkb.rnp.br,170.79.213.42,mxse-cal1-chesf.bkb.rnp.br
1746024304,2025-04-30 11:45:04,5,170.79.213.42,mxse-cal1-chesf.bkb.rnp.br,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
