Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743429979,2025-03-31 11:06:19,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1743429979,2025-03-31 11:06:19,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743429979,2025-03-31 11:06:19,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1743429979,2025-03-31 11:06:19,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1743429979,2025-03-31 11:06:19,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1743429979,2025-03-31 11:06:19,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1743431368,2025-03-31 11:29:28,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1743431368,2025-03-31 11:29:28,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743431368,2025-03-31 11:29:28,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1743431368,2025-03-31 11:29:28,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1743431368,2025-03-31 11:29:28,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1743431368,2025-03-31 11:29:28,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1743433380,2025-03-31 12:03:00,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1743433380,2025-03-31 12:03:00,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743433380,2025-03-31 12:03:00,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1743433380,2025-03-31 12:03:00,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1743433380,2025-03-31 12:03:00,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1743433380,2025-03-31 12:03:00,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1743434605,2025-03-31 12:23:25,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1743434605,2025-03-31 12:23:25,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743434605,2025-03-31 12:23:25,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1743434605,2025-03-31 12:23:25,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1743434605,2025-03-31 12:23:25,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1743434605,2025-03-31 12:23:25,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1743436651,2025-03-31 12:57:31,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1743436651,2025-03-31 12:57:31,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743436651,2025-03-31 12:57:31,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1743436651,2025-03-31 12:57:31,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1743436651,2025-03-31 12:57:31,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1743436651,2025-03-31 12:57:31,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1743437695,2025-03-31 13:14:55,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1743437695,2025-03-31 13:14:55,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743437695,2025-03-31 13:14:55,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1743437695,2025-03-31 13:14:55,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1743437695,2025-03-31 13:14:55,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1743437695,2025-03-31 13:14:55,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1743438021,2025-03-31 13:20:21,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1743438021,2025-03-31 13:20:21,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743438021,2025-03-31 13:20:21,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1743438021,2025-03-31 13:20:21,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1743438021,2025-03-31 13:20:21,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1743438021,2025-03-31 13:20:21,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1743438451,2025-03-31 13:27:31,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1743438451,2025-03-31 13:27:31,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743438451,2025-03-31 13:27:31,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
