Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752168617,2025-07-10 14:30:17,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752168617,2025-07-10 14:30:17,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752168617,2025-07-10 14:30:17,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752168617,2025-07-10 14:30:17,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752168617,2025-07-10 14:30:17,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752168617,2025-07-10 14:30:17,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752168617,2025-07-10 14:30:17,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1752171882,2025-07-10 15:24:42,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752171882,2025-07-10 15:24:42,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752171882,2025-07-10 15:24:42,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752171882,2025-07-10 15:24:42,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752171882,2025-07-10 15:24:42,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752171882,2025-07-10 15:24:42,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752171882,2025-07-10 15:24:42,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1752173699,2025-07-10 15:54:59,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752173699,2025-07-10 15:54:59,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752173699,2025-07-10 15:54:59,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752173699,2025-07-10 15:54:59,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752173699,2025-07-10 15:54:59,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752173699,2025-07-10 15:54:59,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752173699,2025-07-10 15:54:59,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1752174191,2025-07-10 16:03:11,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752174191,2025-07-10 16:03:11,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752174191,2025-07-10 16:03:11,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752174191,2025-07-10 16:03:11,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752174191,2025-07-10 16:03:11,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752174191,2025-07-10 16:03:11,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752174191,2025-07-10 16:03:11,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1752175030,2025-07-10 16:17:10,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752175030,2025-07-10 16:17:10,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752175030,2025-07-10 16:17:10,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752175030,2025-07-10 16:17:10,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752175030,2025-07-10 16:17:10,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752175030,2025-07-10 16:17:10,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752175030,2025-07-10 16:17:10,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1752175555,2025-07-10 16:25:55,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752175555,2025-07-10 16:25:55,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752175555,2025-07-10 16:25:55,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752175555,2025-07-10 16:25:55,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752175555,2025-07-10 16:25:55,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752175555,2025-07-10 16:25:55,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752175555,2025-07-10 16:25:55,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1752176402,2025-07-10 16:40:02,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752176402,2025-07-10 16:40:02,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752176402,2025-07-10 16:40:02,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752176402,2025-07-10 16:40:02,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752176402,2025-07-10 16:40:02,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752176402,2025-07-10 16:40:02,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752176402,2025-07-10 16:40:02,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1752176944,2025-07-10 16:49:04,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752176944,2025-07-10 16:49:04,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752176944,2025-07-10 16:49:04,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752176944,2025-07-10 16:49:04,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752176944,2025-07-10 16:49:04,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752176944,2025-07-10 16:49:04,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752176944,2025-07-10 16:49:04,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1752177965,2025-07-10 17:06:05,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752177965,2025-07-10 17:06:05,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1752177965,2025-07-10 17:06:05,3,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1752177965,2025-07-10 17:06:05,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1752177965,2025-07-10 17:06:05,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1752177965,2025-07-10 17:06:05,6,170.79.214.71,No-Hostname,No-IP,No-Hostname
1752177965,2025-07-10 17:06:05,7,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
