Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752168131,2025-07-10 14:22:11,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752168131,2025-07-10 14:22:11,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1752168131,2025-07-10 14:22:11,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1752168131,2025-07-10 14:22:11,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1752168131,2025-07-10 14:22:11,5,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1752168131,2025-07-10 14:22:11,6,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.243,to-pop-dt-sw-dc-1
1752168131,2025-07-10 14:22:11,7,200.139.26.243,to-pop-dt-sw-dc-1,200.139.26.37,monipe-to-atraso.rnp.br
1752168880,2025-07-10 14:34:40,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752168880,2025-07-10 14:34:40,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1752168880,2025-07-10 14:34:40,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1752168880,2025-07-10 14:34:40,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1752168880,2025-07-10 14:34:40,5,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1752168880,2025-07-10 14:34:40,6,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.243,to-pop-dt-sw-dc-1
1752168880,2025-07-10 14:34:40,7,200.139.26.243,to-pop-dt-sw-dc-1,200.139.26.37,monipe-to-atraso.rnp.br
1752169789,2025-07-10 14:49:49,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752169789,2025-07-10 14:49:49,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1752169789,2025-07-10 14:49:49,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1752169789,2025-07-10 14:49:49,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1752169789,2025-07-10 14:49:49,5,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1752169789,2025-07-10 14:49:49,6,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.243,to-pop-dt-sw-dc-1
1752169789,2025-07-10 14:49:49,7,200.139.26.243,to-pop-dt-sw-dc-1,200.139.26.37,monipe-to-atraso.rnp.br
1752170071,2025-07-10 14:54:31,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752170071,2025-07-10 14:54:31,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1752170071,2025-07-10 14:54:31,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1752170071,2025-07-10 14:54:31,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1752170071,2025-07-10 14:54:31,5,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1752170071,2025-07-10 14:54:31,6,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.243,to-pop-dt-sw-dc-1
1752170071,2025-07-10 14:54:31,7,200.139.26.243,to-pop-dt-sw-dc-1,200.139.26.37,monipe-to-atraso.rnp.br
1752171047,2025-07-10 15:10:47,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752171047,2025-07-10 15:10:47,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1752171047,2025-07-10 15:10:47,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1752171047,2025-07-10 15:10:47,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752171047,2025-07-10 15:10:47,5,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1752171047,2025-07-10 15:10:47,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1752171047,2025-07-10 15:10:47,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.243,to-pop-dt-sw-dc-1
1752171047,2025-07-10 15:10:47,8,200.139.26.243,to-pop-dt-sw-dc-1,200.139.26.37,monipe-to-atraso.rnp.br
1752171518,2025-07-10 15:18:38,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752171518,2025-07-10 15:18:38,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1752171518,2025-07-10 15:18:38,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1752171518,2025-07-10 15:18:38,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752171518,2025-07-10 15:18:38,5,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1752171518,2025-07-10 15:18:38,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1752171518,2025-07-10 15:18:38,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.243,to-pop-dt-sw-dc-1
1752171518,2025-07-10 15:18:38,8,200.139.26.243,to-pop-dt-sw-dc-1,200.139.26.37,monipe-to-atraso.rnp.br
1752171763,2025-07-10 15:22:43,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752171763,2025-07-10 15:22:43,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1752171763,2025-07-10 15:22:43,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1752171763,2025-07-10 15:22:43,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1752171763,2025-07-10 15:22:43,5,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1752171763,2025-07-10 15:22:43,6,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.243,to-pop-dt-sw-dc-1
1752171763,2025-07-10 15:22:43,7,200.139.26.243,to-pop-dt-sw-dc-1,200.139.26.37,monipe-to-atraso.rnp.br
1752172685,2025-07-10 15:38:05,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752172685,2025-07-10 15:38:05,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1752172685,2025-07-10 15:38:05,3,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1752172685,2025-07-10 15:38:05,4,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1752172685,2025-07-10 15:38:05,5,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1752172685,2025-07-10 15:38:05,6,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.243,to-pop-dt-sw-dc-1
1752172685,2025-07-10 15:38:05,7,200.139.26.243,to-pop-dt-sw-dc-1,200.139.26.37,monipe-to-atraso.rnp.br
1752173261,2025-07-10 15:47:41,1,200.137.160.129,bb3.pop-pi.rnp.br,170.79.214.54,cpi1-bpi1.bkb.rnp.br
1752173261,2025-07-10 15:47:41,2,170.79.214.54,cpi1-bpi1.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
