Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1751894790,2025-07-07 10:26:30,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1751894790,2025-07-07 10:26:30,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1751894790,2025-07-07 10:26:30,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1751894790,2025-07-07 10:26:30,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.237,cpr2-cpr1-100g.bkb.rnp.br
1751894790,2025-07-07 10:26:30,5,170.79.213.237,cpr2-cpr1-100g.bkb.rnp.br,170.79.213.231,csp2-cpr2-100g-brdigital.bkb.rnp.br
1751894790,2025-07-07 10:26:30,6,170.79.213.231,csp2-cpr2-100g-brdigital.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1751894790,2025-07-07 10:26:30,7,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br
1751894790,2025-07-07 10:26:30,8,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1751894790,2025-07-07 10:26:30,9,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1751894790,2025-07-07 10:26:30,10,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1751894790,2025-07-07 10:26:30,11,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1751894790,2025-07-07 10:26:30,12,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1751895800,2025-07-07 10:43:20,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1751895800,2025-07-07 10:43:20,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1751895800,2025-07-07 10:43:20,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
