Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1749683021,2025-06-11 20:03:41,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1749683021,2025-06-11 20:03:41,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1749683021,2025-06-11 20:03:41,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1749683021,2025-06-11 20:03:41,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br
1749683021,2025-06-11 20:03:41,5,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br
1749683021,2025-06-11 20:03:41,6,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1749683021,2025-06-11 20:03:41,7,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1749683021,2025-06-11 20:03:41,8,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749683021,2025-06-11 20:03:41,9,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749683021,2025-06-11 20:03:41,10,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749683882,2025-06-11 20:18:02,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1749683882,2025-06-11 20:18:02,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1749683882,2025-06-11 20:18:02,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1749683882,2025-06-11 20:18:02,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br
1749683882,2025-06-11 20:18:02,5,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br
1749683882,2025-06-11 20:18:02,6,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1749683882,2025-06-11 20:18:02,7,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1749683882,2025-06-11 20:18:02,8,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749683882,2025-06-11 20:18:02,9,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749683882,2025-06-11 20:18:02,10,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749684316,2025-06-11 20:25:16,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1749684316,2025-06-11 20:25:16,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1749684316,2025-06-11 20:25:16,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1749684316,2025-06-11 20:25:16,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br
1749684316,2025-06-11 20:25:16,5,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br
1749684316,2025-06-11 20:25:16,6,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1749684316,2025-06-11 20:25:16,7,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1749684316,2025-06-11 20:25:16,8,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749684316,2025-06-11 20:25:16,9,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749684316,2025-06-11 20:25:16,10,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749684962,2025-06-11 20:36:02,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1749684962,2025-06-11 20:36:02,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1749684962,2025-06-11 20:36:02,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1749684962,2025-06-11 20:36:02,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br
1749684962,2025-06-11 20:36:02,5,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br
1749684962,2025-06-11 20:36:02,6,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1749684962,2025-06-11 20:36:02,7,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1749684962,2025-06-11 20:36:02,8,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749684962,2025-06-11 20:36:02,9,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749684962,2025-06-11 20:36:02,10,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749685867,2025-06-11 20:51:07,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1749685867,2025-06-11 20:51:07,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1749685867,2025-06-11 20:51:07,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1749685867,2025-06-11 20:51:07,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br
1749685867,2025-06-11 20:51:07,5,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br
1749685867,2025-06-11 20:51:07,6,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1749685867,2025-06-11 20:51:07,7,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1749685867,2025-06-11 20:51:07,8,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749685867,2025-06-11 20:51:07,9,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749685867,2025-06-11 20:51:07,10,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749686906,2025-06-11 21:08:26,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1749686906,2025-06-11 21:08:26,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1749686906,2025-06-11 21:08:26,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1749686906,2025-06-11 21:08:26,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br
1749686906,2025-06-11 21:08:26,5,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br
1749686906,2025-06-11 21:08:26,6,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1749686906,2025-06-11 21:08:26,7,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1749686906,2025-06-11 21:08:26,8,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749686906,2025-06-11 21:08:26,9,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749686906,2025-06-11 21:08:26,10,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749687475,2025-06-11 21:17:55,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1749687475,2025-06-11 21:17:55,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1749687475,2025-06-11 21:17:55,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1749687475,2025-06-11 21:17:55,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br
1749687475,2025-06-11 21:17:55,5,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br
1749687475,2025-06-11 21:17:55,6,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1749687475,2025-06-11 21:17:55,7,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1749687475,2025-06-11 21:17:55,8,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749687475,2025-06-11 21:17:55,9,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749687475,2025-06-11 21:17:55,10,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749688247,2025-06-11 21:30:47,1,200.134.255.1,v1900.pr-pop-dt-ufpr-cp-2.ger.pop-pr.rnp.br,200.238.139.33,No-Hostname
1749688247,2025-06-11 21:30:47,2,200.238.139.33,No-Hostname,200.238.139.17,No-Hostname
1749688247,2025-06-11 21:30:47,3,200.238.139.17,No-Hostname,170.79.214.60,cpr1-bpr1.bkb.rnp.br
1749688247,2025-06-11 21:30:47,4,170.79.214.60,cpr1-bpr1.bkb.rnp.br,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br
1749688247,2025-06-11 21:30:47,5,170.79.213.108,csp2-cpr1-tlb.bkb.rnp.br,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br
1749688247,2025-06-11 21:30:47,6,200.143.252.73,cmg2-csp2-infobarra.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
