Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744638768,2025-04-14 10:52:48,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1744638768,2025-04-14 10:52:48,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1744638768,2025-04-14 10:52:48,3,200.143.253.21,crj1-brj1.bkb.rnp.br,200.143.252.235,crj2-crj1.bkb.rnp.br
1744638768,2025-04-14 10:52:48,4,200.143.252.235,crj2-crj1.bkb.rnp.br,170.79.213.164,cmg2-crj2-wirelink.bkb.rnp.br
1744638768,2025-04-14 10:52:48,5,170.79.213.164,cmg2-crj2-wirelink.bkb.rnp.br,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br
1744638768,2025-04-14 10:52:48,6,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1744638768,2025-04-14 10:52:48,7,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1744638768,2025-04-14 10:52:48,8,170.79.214.115,bdf2-cdf2.bkb.rnp.br,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,9,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,10,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,11,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,12,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,13,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,14,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,15,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,16,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,17,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,18,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,19,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,20,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,21,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,22,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,23,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,24,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,25,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,26,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,27,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,28,No-IP,No-Hostname,No-IP,No-Hostname
1744638768,2025-04-14 10:52:48,29,No-IP,No-Hostname,No-IP,No-Hostname
1744639589,2025-04-14 11:06:29,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1744639589,2025-04-14 11:06:29,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
