Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1748531882,2025-05-29 12:18:02,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1748531882,2025-05-29 12:18:02,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1748531882,2025-05-29 12:18:02,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1748531882,2025-05-29 12:18:02,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1748531882,2025-05-29 12:18:02,5,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.214.61,bpr1-cpr1.bkb.rnp.br
1748531882,2025-05-29 12:18:02,6,170.79.214.61,bpr1-cpr1.bkb.rnp.br,200.238.139.18,No-Hostname
1748531882,2025-05-29 12:18:02,7,200.238.139.18,No-Hostname,200.238.139.34,No-Hostname
1748531882,2025-05-29 12:18:02,8,200.238.139.34,No-Hostname,200.134.255.5,monipe-pr-atraso.rnp.br
1748532899,2025-05-29 12:34:59,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1748532899,2025-05-29 12:34:59,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1748532899,2025-05-29 12:34:59,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1748532899,2025-05-29 12:34:59,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1748532899,2025-05-29 12:34:59,5,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.214.61,bpr1-cpr1.bkb.rnp.br
1748532899,2025-05-29 12:34:59,6,170.79.214.61,bpr1-cpr1.bkb.rnp.br,200.238.139.18,No-Hostname
1748532899,2025-05-29 12:34:59,7,200.238.139.18,No-Hostname,200.238.139.34,No-Hostname
1748532899,2025-05-29 12:34:59,8,200.238.139.34,No-Hostname,200.134.255.5,monipe-pr-atraso.rnp.br
1748533172,2025-05-29 12:39:32,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1748533172,2025-05-29 12:39:32,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1748533172,2025-05-29 12:39:32,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1748533172,2025-05-29 12:39:32,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
