Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1742334824,2025-03-18 18:53:44,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1742334824,2025-03-18 18:53:44,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1742334824,2025-03-18 18:53:44,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.198,cmg1-crj1-telebras.bkb.rnp.br
1742334824,2025-03-18 18:53:44,4,170.79.213.198,cmg1-crj1-telebras.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1742334824,2025-03-18 18:53:44,5,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1742334824,2025-03-18 18:53:44,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1742334824,2025-03-18 18:53:44,7,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br
1742334824,2025-03-18 18:53:44,8,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742334824,2025-03-18 18:53:44,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742334824,2025-03-18 18:53:44,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742335443,2025-03-18 19:04:03,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1742335443,2025-03-18 19:04:03,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1742335443,2025-03-18 19:04:03,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.198,cmg1-crj1-telebras.bkb.rnp.br
1742335443,2025-03-18 19:04:03,4,170.79.213.198,cmg1-crj1-telebras.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1742335443,2025-03-18 19:04:03,5,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1742335443,2025-03-18 19:04:03,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1742335443,2025-03-18 19:04:03,7,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br
1742335443,2025-03-18 19:04:03,8,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742335443,2025-03-18 19:04:03,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742335443,2025-03-18 19:04:03,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742337312,2025-03-18 19:35:12,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1742337312,2025-03-18 19:35:12,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1742337312,2025-03-18 19:35:12,3,200.143.253.21,crj1-brj1.bkb.rnp.br,200.143.252.235,crj2-crj1.bkb.rnp.br
1742337312,2025-03-18 19:35:12,4,200.143.252.235,crj2-crj1.bkb.rnp.br,170.79.213.157,csp2-crj2-infobarra.bkb.rnp.br
1742337312,2025-03-18 19:35:12,5,170.79.213.157,csp2-crj2-infobarra.bkb.rnp.br,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br
1742337312,2025-03-18 19:35:12,6,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
1742337312,2025-03-18 19:35:12,7,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1742337312,2025-03-18 19:35:12,8,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br
1742337312,2025-03-18 19:35:12,9,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742337312,2025-03-18 19:35:12,10,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742337312,2025-03-18 19:35:12,11,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742338323,2025-03-18 19:52:03,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1742338323,2025-03-18 19:52:03,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1742338323,2025-03-18 19:52:03,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.198,cmg1-crj1-telebras.bkb.rnp.br
1742338323,2025-03-18 19:52:03,4,170.79.213.198,cmg1-crj1-telebras.bkb.rnp.br,170.79.213.135,cmg2-cmg1.bkb.rnp.br
1742338323,2025-03-18 19:52:03,5,170.79.213.135,cmg2-cmg1.bkb.rnp.br,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br
1742338323,2025-03-18 19:52:03,6,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br
1742338323,2025-03-18 19:52:03,7,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br
1742338323,2025-03-18 19:52:03,8,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742338323,2025-03-18 19:52:03,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742338323,2025-03-18 19:52:03,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742338475,2025-03-18 19:54:35,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1742338475,2025-03-18 19:54:35,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1742338475,2025-03-18 19:54:35,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.198,cmg1-crj1-telebras.bkb.rnp.br
1742338475,2025-03-18 19:54:35,4,170.79.213.198,cmg1-crj1-telebras.bkb.rnp.br,170.79.213.135,cmg2-cmg1.bkb.rnp.br
1742338475,2025-03-18 19:54:35,5,170.79.213.135,cmg2-cmg1.bkb.rnp.br,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br
1742338475,2025-03-18 19:54:35,6,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br
1742338475,2025-03-18 19:54:35,7,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br
1742338475,2025-03-18 19:54:35,8,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742338475,2025-03-18 19:54:35,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742338475,2025-03-18 19:54:35,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742339269,2025-03-18 20:07:49,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
