Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1748532218,2025-05-29 12:23:38,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1748532218,2025-05-29 12:23:38,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1748532218,2025-05-29 12:23:38,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1748532218,2025-05-29 12:23:38,4,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br
1748532218,2025-05-29 12:23:38,5,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1748532218,2025-05-29 12:23:38,6,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1748532218,2025-05-29 12:23:38,7,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1748532218,2025-05-29 12:23:38,8,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1748532969,2025-05-29 12:36:09,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1748532969,2025-05-29 12:36:09,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1748532969,2025-05-29 12:36:09,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1748532969,2025-05-29 12:36:09,4,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br
1748532969,2025-05-29 12:36:09,5,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1748532969,2025-05-29 12:36:09,6,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1748532969,2025-05-29 12:36:09,7,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1748532969,2025-05-29 12:36:09,8,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1748534027,2025-05-29 12:53:47,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1748534027,2025-05-29 12:53:47,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1748534027,2025-05-29 12:53:47,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1748534027,2025-05-29 12:53:47,4,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br
1748534027,2025-05-29 12:53:47,5,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1748534027,2025-05-29 12:53:47,6,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1748534027,2025-05-29 12:53:47,7,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1748534027,2025-05-29 12:53:47,8,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1748535051,2025-05-29 13:10:51,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1748535051,2025-05-29 13:10:51,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1748535051,2025-05-29 13:10:51,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1748535051,2025-05-29 13:10:51,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1748535051,2025-05-29 13:10:51,5,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.138,cce1-cce2.bkb.rnp.br
1748535051,2025-05-29 13:10:51,6,170.79.213.138,cce1-cce2.bkb.rnp.br,170.79.213.23,crr1-cce1-oi.bkb.rnp.br
1748535051,2025-05-29 13:10:51,7,170.79.213.23,crr1-cce1-oi.bkb.rnp.br,200.129.143.93,No-Hostname
1748535051,2025-05-29 13:10:51,8,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1748535357,2025-05-29 13:15:57,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1748535357,2025-05-29 13:15:57,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1748535357,2025-05-29 13:15:57,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1748535357,2025-05-29 13:15:57,4,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br
1748535357,2025-05-29 13:15:57,5,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
