Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1751377441,2025-07-01 10:44:01,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1751377441,2025-07-01 10:44:01,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1751377441,2025-07-01 10:44:01,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1751377441,2025-07-01 10:44:01,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br
1751377441,2025-07-01 10:44:01,5,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br,170.79.213.238,csc1-csc2-rnp.bkb.rnp.br
1751377441,2025-07-01 10:44:01,6,170.79.213.238,csc1-csc2-rnp.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1751377441,2025-07-01 10:44:01,7,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1751377441,2025-07-01 10:44:01,8,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1751378387,2025-07-01 10:59:47,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1751378387,2025-07-01 10:59:47,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1751378387,2025-07-01 10:59:47,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1751378387,2025-07-01 10:59:47,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br
1751378387,2025-07-01 10:59:47,5,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br,170.79.213.238,csc1-csc2-rnp.bkb.rnp.br
1751378387,2025-07-01 10:59:47,6,170.79.213.238,csc1-csc2-rnp.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1751378387,2025-07-01 10:59:47,7,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1751378387,2025-07-01 10:59:47,8,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1751379412,2025-07-01 11:16:52,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1751379412,2025-07-01 11:16:52,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1751379412,2025-07-01 11:16:52,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
