Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743174068,2025-03-28 12:01:08,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1743174068,2025-03-28 12:01:08,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1743174068,2025-03-28 12:01:08,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1743174068,2025-03-28 12:01:08,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.96,cdf1-csp1-claro.bkb.rnp.br
1743174068,2025-03-28 12:01:08,5,170.79.213.96,cdf1-csp1-claro.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1743174068,2025-03-28 12:01:08,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1743174068,2025-03-28 12:01:08,7,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1743174068,2025-03-28 12:01:08,8,170.79.214.53,bto2-cto1.bkb.rnp.br,200.139.26.231,No-Hostname
1743174068,2025-03-28 12:01:08,9,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
1743174068,2025-03-28 12:01:08,10,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1743175532,2025-03-28 12:25:32,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1743175532,2025-03-28 12:25:32,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1743175532,2025-03-28 12:25:32,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1743175532,2025-03-28 12:25:32,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
1743175532,2025-03-28 12:25:32,5,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1743175532,2025-03-28 12:25:32,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1743175532,2025-03-28 12:25:32,7,170.79.214.53,bto2-cto1.bkb.rnp.br,200.139.26.231,No-Hostname
1743175532,2025-03-28 12:25:32,8,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
1743175532,2025-03-28 12:25:32,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1743176357,2025-03-28 12:39:17,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1743176357,2025-03-28 12:39:17,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1743176357,2025-03-28 12:39:17,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1743176357,2025-03-28 12:39:17,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
1743176357,2025-03-28 12:39:17,5,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1743176357,2025-03-28 12:39:17,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1743176357,2025-03-28 12:39:17,7,170.79.214.53,bto2-cto1.bkb.rnp.br,200.139.26.231,No-Hostname
1743176357,2025-03-28 12:39:17,8,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
1743176357,2025-03-28 12:39:17,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1743176943,2025-03-28 12:49:03,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1743176943,2025-03-28 12:49:03,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1743176943,2025-03-28 12:49:03,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1743176943,2025-03-28 12:49:03,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
1743176943,2025-03-28 12:49:03,5,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1743176943,2025-03-28 12:49:03,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1743176943,2025-03-28 12:49:03,7,170.79.214.53,bto2-cto1.bkb.rnp.br,200.139.26.231,No-Hostname
1743176943,2025-03-28 12:49:03,8,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
1743176943,2025-03-28 12:49:03,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1743177505,2025-03-28 12:58:25,1,200.159.254.167,gateway,200.143.240.34,No-Hostname
1743177505,2025-03-28 12:58:25,2,200.143.240.34,No-Hostname,200.143.253.21,crj1-brj1.bkb.rnp.br
1743177505,2025-03-28 12:58:25,3,200.143.253.21,crj1-brj1.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1743177505,2025-03-28 12:58:25,4,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
