Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1740130429,2025-02-21 06:33:49,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740130429,2025-02-21 06:33:49,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740130429,2025-02-21 06:33:49,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740130429,2025-02-21 06:33:49,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740130429,2025-02-21 06:33:49,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740130429,2025-02-21 06:33:49,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,No-IP,No-Hostname
1740130429,2025-02-21 06:33:49,7,No-IP,No-Hostname,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740130429,2025-02-21 06:33:49,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740131464,2025-02-21 06:51:04,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740131464,2025-02-21 06:51:04,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740131464,2025-02-21 06:51:04,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740131464,2025-02-21 06:51:04,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740131464,2025-02-21 06:51:04,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740131464,2025-02-21 06:51:04,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740131464,2025-02-21 06:51:04,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740131464,2025-02-21 06:51:04,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740132041,2025-02-21 07:00:41,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740132041,2025-02-21 07:00:41,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740132041,2025-02-21 07:00:41,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740132041,2025-02-21 07:00:41,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740132041,2025-02-21 07:00:41,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740132041,2025-02-21 07:00:41,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740132041,2025-02-21 07:00:41,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740132041,2025-02-21 07:00:41,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740132309,2025-02-21 07:05:09,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740132309,2025-02-21 07:05:09,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740132309,2025-02-21 07:05:09,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740132309,2025-02-21 07:05:09,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740132309,2025-02-21 07:05:09,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740132309,2025-02-21 07:05:09,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740132309,2025-02-21 07:05:09,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740132309,2025-02-21 07:05:09,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740132836,2025-02-21 07:13:56,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740132836,2025-02-21 07:13:56,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740132836,2025-02-21 07:13:56,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740132836,2025-02-21 07:13:56,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740132836,2025-02-21 07:13:56,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740132836,2025-02-21 07:13:56,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,No-IP,No-Hostname
1740132836,2025-02-21 07:13:56,7,No-IP,No-Hostname,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740132836,2025-02-21 07:13:56,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740133677,2025-02-21 07:27:57,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740133677,2025-02-21 07:27:57,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740133677,2025-02-21 07:27:57,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740133677,2025-02-21 07:27:57,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740133677,2025-02-21 07:27:57,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740133677,2025-02-21 07:27:57,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740133677,2025-02-21 07:27:57,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740133677,2025-02-21 07:27:57,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740134540,2025-02-21 07:42:20,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740134540,2025-02-21 07:42:20,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740134540,2025-02-21 07:42:20,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740134540,2025-02-21 07:42:20,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740134540,2025-02-21 07:42:20,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740134540,2025-02-21 07:42:20,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740134540,2025-02-21 07:42:20,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740134540,2025-02-21 07:42:20,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740134741,2025-02-21 07:45:41,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740134741,2025-02-21 07:45:41,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740134741,2025-02-21 07:45:41,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740134741,2025-02-21 07:45:41,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740134741,2025-02-21 07:45:41,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740134741,2025-02-21 07:45:41,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740134741,2025-02-21 07:45:41,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740134741,2025-02-21 07:45:41,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740135612,2025-02-21 08:00:12,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740135612,2025-02-21 08:00:12,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740135612,2025-02-21 08:00:12,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740135612,2025-02-21 08:00:12,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740135612,2025-02-21 08:00:12,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740135612,2025-02-21 08:00:12,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740135612,2025-02-21 08:00:12,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740135612,2025-02-21 08:00:12,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740135902,2025-02-21 08:05:02,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740135902,2025-02-21 08:05:02,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740135902,2025-02-21 08:05:02,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740135902,2025-02-21 08:05:02,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740135902,2025-02-21 08:05:02,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740135902,2025-02-21 08:05:02,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740135902,2025-02-21 08:05:02,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740135902,2025-02-21 08:05:02,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740136706,2025-02-21 08:18:26,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740136706,2025-02-21 08:18:26,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740136706,2025-02-21 08:18:26,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740136706,2025-02-21 08:18:26,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740136706,2025-02-21 08:18:26,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1740136706,2025-02-21 08:18:26,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,200.143.253.162,lanmg-cmg1.bkb.rnp.br
1740136706,2025-02-21 08:18:26,7,200.143.253.162,lanmg-cmg1.bkb.rnp.br,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br
1740136706,2025-02-21 08:18:26,8,200.131.0.234,ptp-brigadeiro-couve.pop-mg.rnp.br,200.131.2.170,monipe-mg-atraso.rnp.br
1740137253,2025-02-21 08:27:33,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740137253,2025-02-21 08:27:33,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740137253,2025-02-21 08:27:33,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740137253,2025-02-21 08:27:33,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740137253,2025-02-21 08:27:33,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
