Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1740058028,2025-02-20 10:27:08,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1740058028,2025-02-20 10:27:08,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1740058028,2025-02-20 10:27:08,3,170.79.214.70,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740058028,2025-02-20 10:27:08,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1740058028,2025-02-20 10:27:08,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1740058028,2025-02-20 10:27:08,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1740058028,2025-02-20 10:27:08,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1740059046,2025-02-20 10:44:06,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1740059046,2025-02-20 10:44:06,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1740059046,2025-02-20 10:44:06,3,170.79.214.70,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740059046,2025-02-20 10:44:06,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1740059046,2025-02-20 10:44:06,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1740059046,2025-02-20 10:44:06,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1740059046,2025-02-20 10:44:06,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1740059704,2025-02-20 10:55:04,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1740059704,2025-02-20 10:55:04,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1740059704,2025-02-20 10:55:04,3,170.79.214.70,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740059704,2025-02-20 10:55:04,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1740059704,2025-02-20 10:55:04,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1740059704,2025-02-20 10:55:04,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1740059704,2025-02-20 10:55:04,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1740060033,2025-02-20 11:00:33,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1740060033,2025-02-20 11:00:33,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1740060033,2025-02-20 11:00:33,3,170.79.214.70,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740060033,2025-02-20 11:00:33,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1740060033,2025-02-20 11:00:33,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1740060033,2025-02-20 11:00:33,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
