Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1740563490,2025-02-26 06:51:30,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740563490,2025-02-26 06:51:30,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740563490,2025-02-26 06:51:30,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740563490,2025-02-26 06:51:30,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740563490,2025-02-26 06:51:30,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1740563490,2025-02-26 06:51:30,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1740563490,2025-02-26 06:51:30,7,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1740563490,2025-02-26 06:51:30,8,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1740563490,2025-02-26 06:51:30,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1740563490,2025-02-26 06:51:30,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1740564129,2025-02-26 07:02:09,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740564129,2025-02-26 07:02:09,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740564129,2025-02-26 07:02:09,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740564129,2025-02-26 07:02:09,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740564129,2025-02-26 07:02:09,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1740564129,2025-02-26 07:02:09,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1740564129,2025-02-26 07:02:09,7,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1740564129,2025-02-26 07:02:09,8,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1740564129,2025-02-26 07:02:09,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1740564129,2025-02-26 07:02:09,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1740564842,2025-02-26 07:14:02,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740564842,2025-02-26 07:14:02,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740564842,2025-02-26 07:14:02,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740564842,2025-02-26 07:14:02,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740564842,2025-02-26 07:14:02,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1740564842,2025-02-26 07:14:02,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1740564842,2025-02-26 07:14:02,7,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1740564842,2025-02-26 07:14:02,8,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1740564842,2025-02-26 07:14:02,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1740564842,2025-02-26 07:14:02,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1740565805,2025-02-26 07:30:05,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740565805,2025-02-26 07:30:05,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740565805,2025-02-26 07:30:05,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740565805,2025-02-26 07:30:05,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740565805,2025-02-26 07:30:05,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1740565805,2025-02-26 07:30:05,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1740565805,2025-02-26 07:30:05,7,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1740565805,2025-02-26 07:30:05,8,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1740565805,2025-02-26 07:30:05,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1740565805,2025-02-26 07:30:05,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1740566217,2025-02-26 07:36:57,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740566217,2025-02-26 07:36:57,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740566217,2025-02-26 07:36:57,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740566217,2025-02-26 07:36:57,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740566217,2025-02-26 07:36:57,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1740566217,2025-02-26 07:36:57,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1740566217,2025-02-26 07:36:57,7,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1740566217,2025-02-26 07:36:57,8,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1740566217,2025-02-26 07:36:57,9,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1740566217,2025-02-26 07:36:57,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1740566579,2025-02-26 07:42:59,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1740566579,2025-02-26 07:42:59,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1740566579,2025-02-26 07:42:59,3,170.79.214.68,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1740566579,2025-02-26 07:42:59,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1740566579,2025-02-26 07:42:59,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1740566579,2025-02-26 07:42:59,6,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
