Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741285667,2025-03-06 15:27:47,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1741285667,2025-03-06 15:27:47,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1741285667,2025-03-06 15:27:47,3,170.79.214.70,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1741285667,2025-03-06 15:27:47,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1741285667,2025-03-06 15:27:47,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1741285667,2025-03-06 15:27:47,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1741285667,2025-03-06 15:27:47,7,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1741285667,2025-03-06 15:27:47,8,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1741285667,2025-03-06 15:27:47,9,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1741286754,2025-03-06 15:45:54,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1741286754,2025-03-06 15:45:54,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1741286754,2025-03-06 15:45:54,3,170.79.214.70,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1741286754,2025-03-06 15:45:54,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1741286754,2025-03-06 15:45:54,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1741286754,2025-03-06 15:45:54,6,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1741286754,2025-03-06 15:45:54,7,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1741287274,2025-03-06 15:54:34,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1741287274,2025-03-06 15:54:34,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1741287274,2025-03-06 15:54:34,3,170.79.214.70,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1741287274,2025-03-06 15:54:34,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1741287274,2025-03-06 15:54:34,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1741287274,2025-03-06 15:54:34,6,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1741287274,2025-03-06 15:54:34,7,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1741287600,2025-03-06 16:00:00,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1741287600,2025-03-06 16:00:00,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1741287600,2025-03-06 16:00:00,3,170.79.214.70,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1741287600,2025-03-06 16:00:00,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1741287600,2025-03-06 16:00:00,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1741287600,2025-03-06 16:00:00,6,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1741287600,2025-03-06 16:00:00,7,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1741288095,2025-03-06 16:08:15,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1741288095,2025-03-06 16:08:15,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1741288095,2025-03-06 16:08:15,3,170.79.214.70,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1741288095,2025-03-06 16:08:15,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1741288095,2025-03-06 16:08:15,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1741288095,2025-03-06 16:08:15,6,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1741288095,2025-03-06 16:08:15,7,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1741288917,2025-03-06 16:21:57,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1741288917,2025-03-06 16:21:57,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1741288917,2025-03-06 16:21:57,3,170.79.214.70,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1741288917,2025-03-06 16:21:57,4,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br
1741288917,2025-03-06 16:21:57,5,170.79.213.110,cba1-cpb1-chesf.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1741288917,2025-03-06 16:21:57,6,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
