Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1749857853,2025-06-13 20:37:33,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749857853,2025-06-13 20:37:33,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749857853,2025-06-13 20:37:33,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749857853,2025-06-13 20:37:33,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1749857853,2025-06-13 20:37:33,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.122,csp1-csp2.bkb.rnp.br
1749857853,2025-06-13 20:37:33,6,170.79.213.122,csp1-csp2.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749857853,2025-06-13 20:37:33,7,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749858487,2025-06-13 20:48:07,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749858487,2025-06-13 20:48:07,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749858487,2025-06-13 20:48:07,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749858487,2025-06-13 20:48:07,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1749858487,2025-06-13 20:48:07,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.122,csp1-csp2.bkb.rnp.br
1749858487,2025-06-13 20:48:07,6,170.79.213.122,csp1-csp2.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749858487,2025-06-13 20:48:07,7,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749859262,2025-06-13 21:01:02,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749859262,2025-06-13 21:01:02,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749859262,2025-06-13 21:01:02,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749859262,2025-06-13 21:01:02,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1749859262,2025-06-13 21:01:02,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br
1749859262,2025-06-13 21:01:02,6,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749859262,2025-06-13 21:01:02,7,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749859850,2025-06-13 21:10:50,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749859850,2025-06-13 21:10:50,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749859850,2025-06-13 21:10:50,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749859850,2025-06-13 21:10:50,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1749859850,2025-06-13 21:10:50,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br
1749859850,2025-06-13 21:10:50,6,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749859850,2025-06-13 21:10:50,7,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749860448,2025-06-13 21:20:48,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749860448,2025-06-13 21:20:48,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749860448,2025-06-13 21:20:48,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749860448,2025-06-13 21:20:48,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1749860448,2025-06-13 21:20:48,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.122,csp1-csp2.bkb.rnp.br
1749860448,2025-06-13 21:20:48,6,170.79.213.122,csp1-csp2.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749860448,2025-06-13 21:20:48,7,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749861122,2025-06-13 21:32:02,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749861122,2025-06-13 21:32:02,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749861122,2025-06-13 21:32:02,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749861122,2025-06-13 21:32:02,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1749861122,2025-06-13 21:32:02,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.122,csp1-csp2.bkb.rnp.br
1749861122,2025-06-13 21:32:02,6,170.79.213.122,csp1-csp2.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749861122,2025-06-13 21:32:02,7,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749861901,2025-06-13 21:45:01,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749861901,2025-06-13 21:45:01,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749861901,2025-06-13 21:45:01,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749861901,2025-06-13 21:45:01,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br
1749861901,2025-06-13 21:45:01,5,170.79.213.3,sp2-cce2-tisparkle.bkb.rnp.br,170.79.213.122,csp1-csp2.bkb.rnp.br
1749861901,2025-06-13 21:45:01,6,170.79.213.122,csp1-csp2.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749861901,2025-06-13 21:45:01,7,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749862259,2025-06-13 21:50:59,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749862259,2025-06-13 21:50:59,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749862259,2025-06-13 21:50:59,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749862259,2025-06-13 21:50:59,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.212.249,csp2-csp1-100g-amlight.bkb.rnp.br
1749862259,2025-06-13 21:50:59,5,170.79.212.249,csp2-csp1-100g-amlight.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749862259,2025-06-13 21:50:59,6,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749863001,2025-06-13 22:03:21,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749863001,2025-06-13 22:03:21,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
1749863001,2025-06-13 22:03:21,3,170.79.214.68,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1749863001,2025-06-13 22:03:21,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.212.249,csp2-csp1-100g-amlight.bkb.rnp.br
1749863001,2025-06-13 22:03:21,5,170.79.212.249,csp2-csp1-100g-amlight.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1749863001,2025-06-13 22:03:21,6,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1749863743,2025-06-13 22:15:43,1,200.137.0.193,gateway,10.255.0.0,No-Hostname
1749863743,2025-06-13 22:15:43,2,10.255.0.0,No-Hostname,170.79.214.68,No-Hostname
