Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743429135,2025-03-31 10:52:15,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1743429135,2025-03-31 10:52:15,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1743429135,2025-03-31 10:52:15,3,170.79.214.70,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1743429135,2025-03-31 10:52:15,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br
1743429135,2025-03-31 10:52:15,5,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1743429135,2025-03-31 10:52:15,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1743429135,2025-03-31 10:52:15,7,170.79.214.53,bto2-cto1.bkb.rnp.br,200.139.26.231,No-Hostname
1743429135,2025-03-31 10:52:15,8,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
1743429135,2025-03-31 10:52:15,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1743429861,2025-03-31 11:04:21,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1743429861,2025-03-31 11:04:21,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1743429861,2025-03-31 11:04:21,3,170.79.214.70,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1743429861,2025-03-31 11:04:21,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br
1743429861,2025-03-31 11:04:21,5,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1743429861,2025-03-31 11:04:21,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1743429861,2025-03-31 11:04:21,7,170.79.214.53,bto2-cto1.bkb.rnp.br,200.139.26.231,No-Hostname
1743429861,2025-03-31 11:04:21,8,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
1743429861,2025-03-31 11:04:21,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1743430714,2025-03-31 11:18:34,1,200.137.0.193,gateway,10.255.0.4,No-Hostname
1743430714,2025-03-31 11:18:34,2,10.255.0.4,No-Hostname,170.79.214.70,No-Hostname
1743430714,2025-03-31 11:18:34,3,170.79.214.70,No-Hostname,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1743430714,2025-03-31 11:18:34,4,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br
1743430714,2025-03-31 11:18:34,5,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1743430714,2025-03-31 11:18:34,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
