Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1742983207,2025-03-26 07:00:07,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742983207,2025-03-26 07:00:07,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br
1742983207,2025-03-26 07:00:07,3,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742983207,2025-03-26 07:00:07,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1742983207,2025-03-26 07:00:07,5,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1742983207,2025-03-26 07:00:07,6,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1742983207,2025-03-26 07:00:07,7,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1742983207,2025-03-26 07:00:07,8,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1742983207,2025-03-26 07:00:07,9,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1742984064,2025-03-26 07:14:24,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742984064,2025-03-26 07:14:24,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br
1742984064,2025-03-26 07:14:24,3,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742984064,2025-03-26 07:14:24,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1742984064,2025-03-26 07:14:24,5,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1742984064,2025-03-26 07:14:24,6,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1742984064,2025-03-26 07:14:24,7,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1742984064,2025-03-26 07:14:24,8,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1742984064,2025-03-26 07:14:24,9,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1742984616,2025-03-26 07:23:36,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742984616,2025-03-26 07:23:36,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br
1742984616,2025-03-26 07:23:36,3,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742984616,2025-03-26 07:23:36,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1742984616,2025-03-26 07:23:36,5,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1742984616,2025-03-26 07:23:36,6,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1742984616,2025-03-26 07:23:36,7,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1742984616,2025-03-26 07:23:36,8,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1742984616,2025-03-26 07:23:36,9,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1742985296,2025-03-26 07:34:56,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742985296,2025-03-26 07:34:56,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br
1742985296,2025-03-26 07:34:56,3,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742985296,2025-03-26 07:34:56,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1742985296,2025-03-26 07:34:56,5,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1742985296,2025-03-26 07:34:56,6,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1742985296,2025-03-26 07:34:56,7,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1742985296,2025-03-26 07:34:56,8,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1742985296,2025-03-26 07:34:56,9,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1742985715,2025-03-26 07:41:55,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742985715,2025-03-26 07:41:55,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br
1742985715,2025-03-26 07:41:55,3,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742985715,2025-03-26 07:41:55,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1742985715,2025-03-26 07:41:55,5,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.134,cmg1-cmg2.bkb.rnp.br
1742985715,2025-03-26 07:41:55,6,170.79.213.134,cmg1-cmg2.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1742985715,2025-03-26 07:41:55,7,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
