Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1742983214,2025-03-26 07:00:14,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742983214,2025-03-26 07:00:14,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1742983214,2025-03-26 07:00:14,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742983214,2025-03-26 07:00:14,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742983214,2025-03-26 07:00:14,5,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742983214,2025-03-26 07:00:14,6,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742984330,2025-03-26 07:18:50,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742984330,2025-03-26 07:18:50,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1742984330,2025-03-26 07:18:50,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742984330,2025-03-26 07:18:50,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742984330,2025-03-26 07:18:50,5,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742984330,2025-03-26 07:18:50,6,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742984612,2025-03-26 07:23:32,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742984612,2025-03-26 07:23:32,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1742984612,2025-03-26 07:23:32,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742984612,2025-03-26 07:23:32,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742984612,2025-03-26 07:23:32,5,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742984612,2025-03-26 07:23:32,6,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742985463,2025-03-26 07:37:43,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742985463,2025-03-26 07:37:43,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1742985463,2025-03-26 07:37:43,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742985463,2025-03-26 07:37:43,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742985463,2025-03-26 07:37:43,5,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742985463,2025-03-26 07:37:43,6,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1742985881,2025-03-26 07:44:41,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1742985881,2025-03-26 07:44:41,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1742985881,2025-03-26 07:44:41,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1742985881,2025-03-26 07:44:41,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.113,bdf1-cdf1.bkb.rnp.br
1742985881,2025-03-26 07:44:41,5,170.79.214.113,bdf1-cdf1.bkb.rnp.br,200.130.101.18,No-Hostname
1742985881,2025-03-26 07:44:41,6,200.130.101.18,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
