Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752508698,2025-07-14 12:58:18,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1752508698,2025-07-14 12:58:18,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1752508698,2025-07-14 12:58:18,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1752508698,2025-07-14 12:58:18,4,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1752508698,2025-07-14 12:58:18,5,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752508698,2025-07-14 12:58:18,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1752508698,2025-07-14 12:58:18,7,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1752508698,2025-07-14 12:58:18,8,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1752508698,2025-07-14 12:58:18,9,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br
1752508698,2025-07-14 12:58:18,10,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname
1752508698,2025-07-14 12:58:18,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1752509466,2025-07-14 13:11:06,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1752509466,2025-07-14 13:11:06,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1752509466,2025-07-14 13:11:06,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1752509466,2025-07-14 13:11:06,4,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1752509466,2025-07-14 13:11:06,5,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752509466,2025-07-14 13:11:06,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1752509466,2025-07-14 13:11:06,7,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1752509466,2025-07-14 13:11:06,8,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1752509466,2025-07-14 13:11:06,9,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br
1752509466,2025-07-14 13:11:06,10,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname
1752509466,2025-07-14 13:11:06,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1752510103,2025-07-14 13:21:43,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1752510103,2025-07-14 13:21:43,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1752510103,2025-07-14 13:21:43,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1752510103,2025-07-14 13:21:43,4,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1752510103,2025-07-14 13:21:43,5,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752510103,2025-07-14 13:21:43,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1752510103,2025-07-14 13:21:43,7,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1752510103,2025-07-14 13:21:43,8,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1752510103,2025-07-14 13:21:43,9,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br
1752510103,2025-07-14 13:21:43,10,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname
1752510103,2025-07-14 13:21:43,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1752510615,2025-07-14 13:30:15,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1752510615,2025-07-14 13:30:15,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1752510615,2025-07-14 13:30:15,3,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1752510615,2025-07-14 13:30:15,4,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br
1752510615,2025-07-14 13:30:15,5,170.79.213.208,cdf1-mxgo-brdigital.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752510615,2025-07-14 13:30:15,6,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1752510615,2025-07-14 13:30:15,7,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1752510615,2025-07-14 13:30:15,8,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1752510615,2025-07-14 13:30:15,9,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br
1752510615,2025-07-14 13:30:15,10,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname
1752510615,2025-07-14 13:30:15,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1752511260,2025-07-14 13:41:00,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1752511260,2025-07-14 13:41:00,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
