Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1739885302,2025-02-18 10:28:22,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1739885302,2025-02-18 10:28:22,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br
1739885302,2025-02-18 10:28:22,3,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1739885302,2025-02-18 10:28:22,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1739885302,2025-02-18 10:28:22,5,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1739885302,2025-02-18 10:28:22,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1739885302,2025-02-18 10:28:22,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1739885302,2025-02-18 10:28:22,8,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1739885302,2025-02-18 10:28:22,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1739885302,2025-02-18 10:28:22,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1739886091,2025-02-18 10:41:31,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1739886091,2025-02-18 10:41:31,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br
1739886091,2025-02-18 10:41:31,3,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1739886091,2025-02-18 10:41:31,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1739886091,2025-02-18 10:41:31,5,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1739886091,2025-02-18 10:41:31,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1739886091,2025-02-18 10:41:31,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1739886091,2025-02-18 10:41:31,8,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1739886091,2025-02-18 10:41:31,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1739886091,2025-02-18 10:41:31,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1739886586,2025-02-18 10:49:46,1,200.129.139.129,gateway,200.143.255.249,ro-lanro.bkb.rnp.br
1739886586,2025-02-18 10:49:46,2,200.143.255.249,ro-lanro.bkb.rnp.br,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br
1739886586,2025-02-18 10:49:46,3,170.79.213.112,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1739886586,2025-02-18 10:49:46,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1739886586,2025-02-18 10:49:46,5,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1739886586,2025-02-18 10:49:46,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1739886586,2025-02-18 10:49:46,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1739886586,2025-02-18 10:49:46,8,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
