Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1748904510,2025-06-02 19:48:30,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748904510,2025-06-02 19:48:30,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1748904510,2025-06-02 19:48:30,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748904510,2025-06-02 19:48:30,4,170.79.213.125,bce1-cce1.bkb.rnp.br,No-IP,No-Hostname
1748904510,2025-06-02 19:48:30,5,No-IP,No-Hostname,No-IP,No-Hostname
1748904510,2025-06-02 19:48:30,6,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748905518,2025-06-02 20:05:18,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748905518,2025-06-02 20:05:18,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1748905518,2025-06-02 20:05:18,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748905518,2025-06-02 20:05:18,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748906034,2025-06-02 20:13:54,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748906034,2025-06-02 20:13:54,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1748906034,2025-06-02 20:13:54,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1748906034,2025-06-02 20:13:54,4,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748906822,2025-06-02 20:27:02,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748906822,2025-06-02 20:27:02,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1748906822,2025-06-02 20:27:02,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748906822,2025-06-02 20:27:02,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748907350,2025-06-02 20:35:50,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748907350,2025-06-02 20:35:50,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1748907350,2025-06-02 20:35:50,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748907350,2025-06-02 20:35:50,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748907712,2025-06-02 20:41:52,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748907712,2025-06-02 20:41:52,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1748907712,2025-06-02 20:41:52,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1748907712,2025-06-02 20:41:52,4,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748909145,2025-06-02 21:05:45,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748909145,2025-06-02 21:05:45,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1748909145,2025-06-02 21:05:45,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748909145,2025-06-02 21:05:45,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748909593,2025-06-02 21:13:13,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748909593,2025-06-02 21:13:13,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1748909593,2025-06-02 21:13:13,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748909593,2025-06-02 21:13:13,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748910382,2025-06-02 21:26:22,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748910382,2025-06-02 21:26:22,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748910382,2025-06-02 21:26:22,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748910382,2025-06-02 21:26:22,4,170.79.213.125,bce1-cce1.bkb.rnp.br,No-IP,No-Hostname
1748910382,2025-06-02 21:26:22,5,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748910584,2025-06-02 21:29:44,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748910584,2025-06-02 21:29:44,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748910584,2025-06-02 21:29:44,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748910584,2025-06-02 21:29:44,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748911504,2025-06-02 21:45:04,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748911504,2025-06-02 21:45:04,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748911504,2025-06-02 21:45:04,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1748911504,2025-06-02 21:45:04,4,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748911975,2025-06-02 21:52:55,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748911975,2025-06-02 21:52:55,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748911975,2025-06-02 21:52:55,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1748911975,2025-06-02 21:52:55,4,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748912834,2025-06-02 22:07:14,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748912834,2025-06-02 22:07:14,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748912834,2025-06-02 22:07:14,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1748912834,2025-06-02 22:07:14,4,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748913421,2025-06-02 22:17:01,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748913421,2025-06-02 22:17:01,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748913421,2025-06-02 22:17:01,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748913421,2025-06-02 22:17:01,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748914022,2025-06-02 22:27:02,1,200.129.143.222,gateway,No-IP,No-Hostname
1748914022,2025-06-02 22:27:02,2,No-IP,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748914022,2025-06-02 22:27:02,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748914022,2025-06-02 22:27:02,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748914239,2025-06-02 22:30:39,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748914239,2025-06-02 22:30:39,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748914239,2025-06-02 22:30:39,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748914239,2025-06-02 22:30:39,4,170.79.213.125,bce1-cce1.bkb.rnp.br,No-IP,No-Hostname
1748914239,2025-06-02 22:30:39,5,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748915208,2025-06-02 22:46:48,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748915208,2025-06-02 22:46:48,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748915208,2025-06-02 22:46:48,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748915208,2025-06-02 22:46:48,4,170.79.213.125,bce1-cce1.bkb.rnp.br,200.129.0.113,monipe-ce-atraso.rnp.br
1748915799,2025-06-02 22:56:39,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748915799,2025-06-02 22:56:39,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748915799,2025-06-02 22:56:39,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1748915799,2025-06-02 22:56:39,4,No-IP,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1748916003,2025-06-02 23:00:03,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1748916003,2025-06-02 23:00:03,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1748916003,2025-06-02 23:00:03,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.125,bce1-cce1.bkb.rnp.br
1748916003,2025-06-02 23:00:03,4,170.79.213.125,bce1-cce1.bkb.rnp.br,No-IP,No-Hostname
