Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1746020801,2025-04-30 10:46:41,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746020801,2025-04-30 10:46:41,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1746020801,2025-04-30 10:46:41,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1746020801,2025-04-30 10:46:41,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746020801,2025-04-30 10:46:41,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746020801,2025-04-30 10:46:41,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,No-IP,No-Hostname
1746020801,2025-04-30 10:46:41,7,No-IP,No-Hostname,No-IP,No-Hostname
1746020801,2025-04-30 10:46:41,8,No-IP,No-Hostname,No-IP,No-Hostname
1746020801,2025-04-30 10:46:41,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746021682,2025-04-30 11:01:22,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746021682,2025-04-30 11:01:22,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1746021682,2025-04-30 11:01:22,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1746021682,2025-04-30 11:01:22,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,No-IP,No-Hostname
1746021682,2025-04-30 11:01:22,5,No-IP,No-Hostname,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746021682,2025-04-30 11:01:22,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746021682,2025-04-30 11:01:22,7,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746021682,2025-04-30 11:01:22,8,No-IP,No-Hostname,No-IP,No-Hostname
1746021682,2025-04-30 11:01:22,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746022280,2025-04-30 11:11:20,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746022280,2025-04-30 11:11:20,2,200.129.143.94,No-Hostname,No-IP,No-Hostname
1746022280,2025-04-30 11:11:20,3,No-IP,No-Hostname,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1746022280,2025-04-30 11:11:20,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746022280,2025-04-30 11:11:20,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746022280,2025-04-30 11:11:20,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,No-IP,No-Hostname
1746022280,2025-04-30 11:11:20,7,No-IP,No-Hostname,No-IP,No-Hostname
1746022280,2025-04-30 11:11:20,8,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746022834,2025-04-30 11:20:34,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746022834,2025-04-30 11:20:34,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1746022834,2025-04-30 11:20:34,3,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1746022834,2025-04-30 11:20:34,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746022834,2025-04-30 11:20:34,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,No-IP,No-Hostname
1746022834,2025-04-30 11:20:34,6,No-IP,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746022834,2025-04-30 11:20:34,7,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746022834,2025-04-30 11:20:34,8,No-IP,No-Hostname,No-IP,No-Hostname
1746022834,2025-04-30 11:20:34,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746023511,2025-04-30 11:31:51,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746023511,2025-04-30 11:31:51,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1746023511,2025-04-30 11:31:51,3,170.79.213.131,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1746023511,2025-04-30 11:31:51,4,No-IP,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746023511,2025-04-30 11:31:51,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746023511,2025-04-30 11:31:51,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746023511,2025-04-30 11:31:51,7,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746023511,2025-04-30 11:31:51,8,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746023917,2025-04-30 11:38:37,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746023917,2025-04-30 11:38:37,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1746023917,2025-04-30 11:38:37,3,170.79.213.131,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1746023917,2025-04-30 11:38:37,4,No-IP,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746023917,2025-04-30 11:38:37,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,No-IP,No-Hostname
1746023917,2025-04-30 11:38:37,6,No-IP,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746023917,2025-04-30 11:38:37,7,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746023917,2025-04-30 11:38:37,8,No-IP,No-Hostname,No-IP,No-Hostname
1746023917,2025-04-30 11:38:37,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746024866,2025-04-30 11:54:26,1,No-IP,No-Hostname,200.129.143.94,No-Hostname
1746024866,2025-04-30 11:54:26,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1746024866,2025-04-30 11:54:26,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1746024866,2025-04-30 11:54:26,4,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746024866,2025-04-30 11:54:26,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746024866,2025-04-30 11:54:26,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,No-IP,No-Hostname
1746024866,2025-04-30 11:54:26,7,No-IP,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746024866,2025-04-30 11:54:26,8,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746024866,2025-04-30 11:54:26,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746025250,2025-04-30 12:00:50,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746025250,2025-04-30 12:00:50,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1746025250,2025-04-30 12:00:50,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1746025250,2025-04-30 12:00:50,4,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746025250,2025-04-30 12:00:50,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,No-IP,No-Hostname
1746025250,2025-04-30 12:00:50,6,No-IP,No-Hostname,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1746025250,2025-04-30 12:00:50,7,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,No-IP,No-Hostname
1746025250,2025-04-30 12:00:50,8,No-IP,No-Hostname,No-IP,No-Hostname
1746025250,2025-04-30 12:00:50,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746026102,2025-04-30 12:15:02,1,200.129.143.222,gateway,No-IP,No-Hostname
1746026102,2025-04-30 12:15:02,2,No-IP,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1746026102,2025-04-30 12:15:02,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1746026102,2025-04-30 12:15:02,4,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746026102,2025-04-30 12:15:02,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746026102,2025-04-30 12:15:02,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1746026102,2025-04-30 12:15:02,7,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,No-IP,No-Hostname
1746026102,2025-04-30 12:15:02,8,No-IP,No-Hostname,No-IP,No-Hostname
1746026102,2025-04-30 12:15:02,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746026710,2025-04-30 12:25:10,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746026710,2025-04-30 12:25:10,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1746026710,2025-04-30 12:25:10,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1746026710,2025-04-30 12:25:10,4,No-IP,No-Hostname,No-IP,No-Hostname
1746026710,2025-04-30 12:25:10,5,No-IP,No-Hostname,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746026710,2025-04-30 12:25:10,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1746026710,2025-04-30 12:25:10,7,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,No-IP,No-Hostname
1746026710,2025-04-30 12:25:10,8,No-IP,No-Hostname,No-IP,No-Hostname
1746026710,2025-04-30 12:25:10,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746026924,2025-04-30 12:28:44,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746026924,2025-04-30 12:28:44,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1746026924,2025-04-30 12:28:44,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1746026924,2025-04-30 12:28:44,4,170.79.213.139,cce2-cce1.bkb.rnp.br,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br
1746026924,2025-04-30 12:28:44,5,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746026924,2025-04-30 12:28:44,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,No-IP,No-Hostname
1746026924,2025-04-30 12:28:44,7,No-IP,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746026924,2025-04-30 12:28:44,8,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746026924,2025-04-30 12:28:44,9,No-IP,No-Hostname,No-IP,No-Hostname
1746026924,2025-04-30 12:28:44,10,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746027599,2025-04-30 12:39:59,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746027599,2025-04-30 12:39:59,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1746027599,2025-04-30 12:39:59,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1746027599,2025-04-30 12:39:59,4,No-IP,No-Hostname,No-IP,No-Hostname
1746027599,2025-04-30 12:39:59,5,No-IP,No-Hostname,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746027599,2025-04-30 12:39:59,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1746027599,2025-04-30 12:39:59,7,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746027599,2025-04-30 12:39:59,8,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746027599,2025-04-30 12:39:59,9,No-IP,No-Hostname,No-IP,No-Hostname
1746027599,2025-04-30 12:39:59,10,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746028452,2025-04-30 12:54:12,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746028452,2025-04-30 12:54:12,2,200.129.143.94,No-Hostname,No-IP,No-Hostname
1746028452,2025-04-30 12:54:12,3,No-IP,No-Hostname,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1746028452,2025-04-30 12:54:12,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,No-IP,No-Hostname
1746028452,2025-04-30 12:54:12,5,No-IP,No-Hostname,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746028452,2025-04-30 12:54:12,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746028452,2025-04-30 12:54:12,7,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746028452,2025-04-30 12:54:12,8,No-IP,No-Hostname,No-IP,No-Hostname
1746028452,2025-04-30 12:54:12,9,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746029074,2025-04-30 13:04:34,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746029074,2025-04-30 13:04:34,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1746029074,2025-04-30 13:04:34,3,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1746029074,2025-04-30 13:04:34,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746029074,2025-04-30 13:04:34,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,No-IP,No-Hostname
1746029074,2025-04-30 13:04:34,6,No-IP,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1746029074,2025-04-30 13:04:34,7,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1746029074,2025-04-30 13:04:34,8,No-IP,No-Hostname,No-IP,No-Hostname
1746029074,2025-04-30 13:04:34,9,No-IP,No-Hostname,No-IP,No-Hostname
1746029074,2025-04-30 13:04:34,10,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1746029313,2025-04-30 13:08:33,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746029313,2025-04-30 13:08:33,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
