Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1745853323,2025-04-28 12:15:23,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1745853323,2025-04-28 12:15:23,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1745853323,2025-04-28 12:15:23,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1745853323,2025-04-28 12:15:23,4,No-IP,No-Hostname,No-IP,No-Hostname
1745853323,2025-04-28 12:15:23,5,No-IP,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1745853323,2025-04-28 12:15:23,6,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,No-IP,No-Hostname
1745853323,2025-04-28 12:15:23,7,No-IP,No-Hostname,No-IP,No-Hostname
1745853323,2025-04-28 12:15:23,8,No-IP,No-Hostname,No-IP,No-Hostname
1745853323,2025-04-28 12:15:23,9,No-IP,No-Hostname,200.133.31.237,No-Hostname
1745853323,2025-04-28 12:15:23,10,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1745854685,2025-04-28 12:38:05,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1745854685,2025-04-28 12:38:05,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1745854685,2025-04-28 12:38:05,3,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1745854685,2025-04-28 12:38:05,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,No-IP,No-Hostname
1745854685,2025-04-28 12:38:05,5,No-IP,No-Hostname,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745854685,2025-04-28 12:38:05,6,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745854685,2025-04-28 12:38:05,7,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745854685,2025-04-28 12:38:05,8,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745854685,2025-04-28 12:38:05,9,170.79.213.139,cce2-cce1.bkb.rnp.br,No-IP,No-Hostname
1745854685,2025-04-28 12:38:05,10,No-IP,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1745854685,2025-04-28 12:38:05,11,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1745854685,2025-04-28 12:38:05,12,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1745854685,2025-04-28 12:38:05,13,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1745854685,2025-04-28 12:38:05,14,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1745854685,2025-04-28 12:38:05,15,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1745855977,2025-04-28 12:59:37,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1745855977,2025-04-28 12:59:37,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1745855977,2025-04-28 12:59:37,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745855977,2025-04-28 12:59:37,4,170.79.213.139,cce2-cce1.bkb.rnp.br,No-IP,No-Hostname
1745855977,2025-04-28 12:59:37,5,No-IP,No-Hostname,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1745855977,2025-04-28 12:59:37,6,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1745855977,2025-04-28 12:59:37,7,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1745855977,2025-04-28 12:59:37,8,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1745855977,2025-04-28 12:59:37,9,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1745855977,2025-04-28 12:59:37,10,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1745856827,2025-04-28 13:13:47,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1745856827,2025-04-28 13:13:47,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
1745856827,2025-04-28 13:13:47,3,170.79.213.22,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745856827,2025-04-28 13:13:47,4,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1745856827,2025-04-28 13:13:47,5,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,No-IP,No-Hostname
1745856827,2025-04-28 13:13:47,6,No-IP,No-Hostname,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1745856827,2025-04-28 13:13:47,7,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1745856827,2025-04-28 13:13:47,8,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1745856827,2025-04-28 13:13:47,9,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1745856827,2025-04-28 13:13:47,10,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1745857244,2025-04-28 13:20:44,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
