Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1749681249,2025-06-11 19:34:09,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1749681249,2025-06-11 19:34:09,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1749681249,2025-06-11 19:34:09,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1749681249,2025-06-11 19:34:09,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749681249,2025-06-11 19:34:09,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1749681249,2025-06-11 19:34:09,6,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1749681249,2025-06-11 19:34:09,7,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,No-IP,No-Hostname
1749681249,2025-06-11 19:34:09,8,No-IP,No-Hostname,200.143.253.22,brj1-crj1.bkb.rnp.br
1749681249,2025-06-11 19:34:09,9,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1749681249,2025-06-11 19:34:09,10,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1749682229,2025-06-11 19:50:29,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1749682229,2025-06-11 19:50:29,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1749682229,2025-06-11 19:50:29,3,170.79.213.131,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1749682229,2025-06-11 19:50:29,4,No-IP,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749682229,2025-06-11 19:50:29,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1749682229,2025-06-11 19:50:29,6,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1749682229,2025-06-11 19:50:29,7,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,No-IP,No-Hostname
1749682229,2025-06-11 19:50:29,8,No-IP,No-Hostname,200.143.240.35,No-Hostname
1749682229,2025-06-11 19:50:29,9,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1749682864,2025-06-11 20:01:04,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1749682864,2025-06-11 20:01:04,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1749682864,2025-06-11 20:01:04,3,170.79.213.131,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1749682864,2025-06-11 20:01:04,4,No-IP,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749682864,2025-06-11 20:01:04,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1749682864,2025-06-11 20:01:04,6,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1749682864,2025-06-11 20:01:04,7,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,No-IP,No-Hostname
1749682864,2025-06-11 20:01:04,8,No-IP,No-Hostname,200.143.240.35,No-Hostname
1749682864,2025-06-11 20:01:04,9,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1749683818,2025-06-11 20:16:58,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1749683818,2025-06-11 20:16:58,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1749683818,2025-06-11 20:16:58,3,170.79.213.131,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1749683818,2025-06-11 20:16:58,4,No-IP,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749683818,2025-06-11 20:16:58,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1749683818,2025-06-11 20:16:58,6,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1749683818,2025-06-11 20:16:58,7,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1749683818,2025-06-11 20:16:58,8,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1749683818,2025-06-11 20:16:58,9,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1749684323,2025-06-11 20:25:23,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1749684323,2025-06-11 20:25:23,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1749684323,2025-06-11 20:25:23,3,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1749684323,2025-06-11 20:25:23,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749684323,2025-06-11 20:25:23,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,No-IP,No-Hostname
1749684323,2025-06-11 20:25:23,6,No-IP,No-Hostname,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1749684323,2025-06-11 20:25:23,7,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,No-IP,No-Hostname
1749684323,2025-06-11 20:25:23,8,No-IP,No-Hostname,200.143.240.35,No-Hostname
1749684323,2025-06-11 20:25:23,9,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1749685120,2025-06-11 20:38:40,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1749685120,2025-06-11 20:38:40,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1749685120,2025-06-11 20:38:40,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1749685120,2025-06-11 20:38:40,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749685120,2025-06-11 20:38:40,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,No-IP,No-Hostname
1749685120,2025-06-11 20:38:40,6,No-IP,No-Hostname,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1749685120,2025-06-11 20:38:40,7,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,No-IP,No-Hostname
1749685120,2025-06-11 20:38:40,8,No-IP,No-Hostname,No-IP,No-Hostname
1749685120,2025-06-11 20:38:40,9,No-IP,No-Hostname,200.143.240.35,No-Hostname
1749685120,2025-06-11 20:38:40,10,200.143.240.35,No-Hostname,No-IP,No-Hostname
1749685120,2025-06-11 20:38:40,11,No-IP,No-Hostname,No-IP,No-Hostname
1749685120,2025-06-11 20:38:40,12,No-IP,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1749685710,2025-06-11 20:48:30,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1749685710,2025-06-11 20:48:30,2,200.129.143.94,No-Hostname,170.79.213.131,crr2-crr1.bkb.rnp.br
1749685710,2025-06-11 20:48:30,3,170.79.213.131,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1749685710,2025-06-11 20:48:30,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749685710,2025-06-11 20:48:30,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,No-IP,No-Hostname
1749685710,2025-06-11 20:48:30,6,No-IP,No-Hostname,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1749685710,2025-06-11 20:48:30,7,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,200.143.252.234,crj1-crj2.bkb.rnp.br
1749685710,2025-06-11 20:48:30,8,200.143.252.234,crj1-crj2.bkb.rnp.br,No-IP,No-Hostname
1749685710,2025-06-11 20:48:30,9,No-IP,No-Hostname,200.143.240.35,No-Hostname
1749685710,2025-06-11 20:48:30,10,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1749686489,2025-06-11 21:01:29,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1749686489,2025-06-11 21:01:29,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1749686489,2025-06-11 21:01:29,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1749686489,2025-06-11 21:01:29,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749686489,2025-06-11 21:01:29,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1749686489,2025-06-11 21:01:29,6,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,No-IP,No-Hostname
1749686489,2025-06-11 21:01:29,7,No-IP,No-Hostname,200.143.253.22,brj1-crj1.bkb.rnp.br
1749686489,2025-06-11 21:01:29,8,200.143.253.22,brj1-crj1.bkb.rnp.br,No-IP,No-Hostname
1749686489,2025-06-11 21:01:29,9,No-IP,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1749687077,2025-06-11 21:11:17,1,200.129.143.222,gateway,No-IP,No-Hostname
1749687077,2025-06-11 21:11:17,2,No-IP,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
