Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743178206,2025-03-28 13:10:06,1,No-IP,No-Hostname,200.129.143.94,No-Hostname
1743178206,2025-03-28 13:10:06,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1743178206,2025-03-28 13:10:06,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1743178206,2025-03-28 13:10:06,4,170.79.213.139,cce2-cce1.bkb.rnp.br,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br
1743178206,2025-03-28 13:10:06,5,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1743178206,2025-03-28 13:10:06,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,No-IP,No-Hostname
1743178206,2025-03-28 13:10:06,7,No-IP,No-Hostname,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1743178206,2025-03-28 13:10:06,8,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1743178206,2025-03-28 13:10:06,9,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1743179079,2025-03-28 13:24:39,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1743179079,2025-03-28 13:24:39,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1743179079,2025-03-28 13:24:39,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1743179079,2025-03-28 13:24:39,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,No-IP,No-Hostname
1743179079,2025-03-28 13:24:39,5,No-IP,No-Hostname,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1743179079,2025-03-28 13:24:39,6,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1743179079,2025-03-28 13:24:39,7,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1743179079,2025-03-28 13:24:39,8,200.143.255.250,lanro-ro.bkb.rnp.br,No-IP,No-Hostname
1743179079,2025-03-28 13:24:39,9,No-IP,No-Hostname,No-IP,No-Hostname
1743179079,2025-03-28 13:24:39,10,No-IP,No-Hostname,200.129.139.182,monipe-ro-atraso.rnp.br
1743180472,2025-03-28 13:47:52,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1743180472,2025-03-28 13:47:52,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1743180472,2025-03-28 13:47:52,3,170.79.213.117,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1743180472,2025-03-28 13:47:52,4,No-IP,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743180472,2025-03-28 13:47:52,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1743180472,2025-03-28 13:47:52,6,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1743180472,2025-03-28 13:47:52,7,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1743180472,2025-03-28 13:47:52,8,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1743181954,2025-03-28 14:12:34,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1743181954,2025-03-28 14:12:34,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1743181954,2025-03-28 14:12:34,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1743181954,2025-03-28 14:12:34,4,170.79.213.139,cce2-cce1.bkb.rnp.br,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br
1743181954,2025-03-28 14:12:34,5,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1743181954,2025-03-28 14:12:34,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,No-IP,No-Hostname
1743181954,2025-03-28 14:12:34,7,No-IP,No-Hostname,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1743181954,2025-03-28 14:12:34,8,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,No-IP,No-Hostname
1743181954,2025-03-28 14:12:34,9,No-IP,No-Hostname,200.129.139.182,monipe-ro-atraso.rnp.br
1743182786,2025-03-28 14:26:26,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1743182786,2025-03-28 14:26:26,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1743182786,2025-03-28 14:26:26,3,170.79.213.117,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1743182786,2025-03-28 14:26:26,4,No-IP,No-Hostname,No-IP,No-Hostname
1743182786,2025-03-28 14:26:26,5,No-IP,No-Hostname,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1743182786,2025-03-28 14:26:26,6,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1743182786,2025-03-28 14:26:26,7,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1743182786,2025-03-28 14:26:26,8,200.143.255.250,lanro-ro.bkb.rnp.br,No-IP,No-Hostname
1743182786,2025-03-28 14:26:26,9,No-IP,No-Hostname,200.129.139.182,monipe-ro-atraso.rnp.br
1743183251,2025-03-28 14:34:11,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1743183251,2025-03-28 14:34:11,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1743183251,2025-03-28 14:34:11,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1743183251,2025-03-28 14:34:11,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743183251,2025-03-28 14:34:11,5,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1743183251,2025-03-28 14:34:11,6,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,No-IP,No-Hostname
1743183251,2025-03-28 14:34:11,7,No-IP,No-Hostname,No-IP,No-Hostname
