Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1746021628,2025-04-30 11:00:28,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746021628,2025-04-30 11:00:28,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1746021628,2025-04-30 11:00:28,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,No-IP,No-Hostname
1746021628,2025-04-30 11:00:28,4,No-IP,No-Hostname,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1746021628,2025-04-30 11:00:28,5,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1746021628,2025-04-30 11:00:28,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746022054,2025-04-30 11:07:34,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746022054,2025-04-30 11:07:34,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1746022054,2025-04-30 11:07:34,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.61,csp2-cce1-100g-monet.bkb.rnp.br
1746022054,2025-04-30 11:07:34,4,170.79.213.61,csp2-cce1-100g-monet.bkb.rnp.br,No-IP,No-Hostname
1746022054,2025-04-30 11:07:34,5,No-IP,No-Hostname,No-IP,No-Hostname
1746022054,2025-04-30 11:07:34,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746022635,2025-04-30 11:17:15,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746022635,2025-04-30 11:17:15,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1746022635,2025-04-30 11:17:15,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br
1746022635,2025-04-30 11:17:15,4,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br,No-IP,No-Hostname
1746022635,2025-04-30 11:17:15,5,No-IP,No-Hostname,No-IP,No-Hostname
1746022635,2025-04-30 11:17:15,6,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1746023715,2025-04-30 11:35:15,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1746023715,2025-04-30 11:35:15,2,200.129.143.94,No-Hostname,170.79.213.22,cce1-crr1-oi.bkb.rnp.br
