Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744211844,2025-04-09 12:17:24,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1744211844,2025-04-09 12:17:24,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1744211844,2025-04-09 12:17:24,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br
1744211844,2025-04-09 12:17:24,4,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br
1744211844,2025-04-09 12:17:24,5,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br,No-IP,No-Hostname
1744211844,2025-04-09 12:17:24,6,No-IP,No-Hostname,170.79.214.35,bsc2-csc1.bkb.rnp.br
1744211844,2025-04-09 12:17:24,7,170.79.214.35,bsc2-csc1.bkb.rnp.br,No-IP,No-Hostname
1744211844,2025-04-09 12:17:24,8,No-IP,No-Hostname,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br
1744211844,2025-04-09 12:17:24,9,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br,200.237.196.20,monipe-sc-atraso.rnp.br
1744212647,2025-04-09 12:30:47,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1744212647,2025-04-09 12:30:47,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1744212647,2025-04-09 12:30:47,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br
1744212647,2025-04-09 12:30:47,4,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br
1744212647,2025-04-09 12:30:47,5,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br,No-IP,No-Hostname
1744212647,2025-04-09 12:30:47,6,No-IP,No-Hostname,170.79.214.35,bsc2-csc1.bkb.rnp.br
1744212647,2025-04-09 12:30:47,7,170.79.214.35,bsc2-csc1.bkb.rnp.br,200.237.205.128,pop-3200-dt1-br2.bb.pop-sc.rnp.br
1744212647,2025-04-09 12:30:47,8,200.237.205.128,pop-3200-dt1-br2.bb.pop-sc.rnp.br,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br
1744212647,2025-04-09 12:30:47,9,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br,No-IP,No-Hostname
1744212647,2025-04-09 12:30:47,10,No-IP,No-Hostname,200.237.196.20,monipe-sc-atraso.rnp.br
1744213508,2025-04-09 12:45:08,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1744213508,2025-04-09 12:45:08,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1744213508,2025-04-09 12:45:08,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br
1744213508,2025-04-09 12:45:08,4,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br,No-IP,No-Hostname
1744213508,2025-04-09 12:45:08,5,No-IP,No-Hostname,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br
1744213508,2025-04-09 12:45:08,6,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br,170.79.214.35,bsc2-csc1.bkb.rnp.br
1744213508,2025-04-09 12:45:08,7,170.79.214.35,bsc2-csc1.bkb.rnp.br,No-IP,No-Hostname
1744213508,2025-04-09 12:45:08,8,No-IP,No-Hostname,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br
1744213508,2025-04-09 12:45:08,9,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br,200.237.196.20,monipe-sc-atraso.rnp.br
1744213911,2025-04-09 12:51:51,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1744213911,2025-04-09 12:51:51,2,200.129.143.94,No-Hostname,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1744213911,2025-04-09 12:51:51,3,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br
1744213911,2025-04-09 12:51:51,4,170.79.213.14,csp2-cce1-tisparkle.bkb.rnp.br,170.79.213.232,csp1-csp2-100g-via-sp2.bkb.rnp.br
