Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741395214,2025-03-07 21:53:34,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1741395214,2025-03-07 21:53:34,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1741395214,2025-03-07 21:53:34,3,170.79.213.117,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1741395214,2025-03-07 21:53:34,4,No-IP,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1741395214,2025-03-07 21:53:34,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1741395214,2025-03-07 21:53:34,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1741395214,2025-03-07 21:53:34,7,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,No-IP,No-Hostname
1741395214,2025-03-07 21:53:34,8,No-IP,No-Hostname,No-IP,No-Hostname
1741395214,2025-03-07 21:53:34,9,No-IP,No-Hostname,200.139.26.250,No-Hostname
1741395214,2025-03-07 21:53:34,10,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1741395927,2025-03-07 22:05:27,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1741395927,2025-03-07 22:05:27,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1741395927,2025-03-07 22:05:27,3,170.79.213.117,crr2-crr1.bkb.rnp.br,No-IP,No-Hostname
1741395927,2025-03-07 22:05:27,4,No-IP,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1741395927,2025-03-07 22:05:27,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1741395927,2025-03-07 22:05:27,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1741395927,2025-03-07 22:05:27,7,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1741395927,2025-03-07 22:05:27,8,170.79.214.53,bto2-cto1.bkb.rnp.br,No-IP,No-Hostname
1741395927,2025-03-07 22:05:27,9,No-IP,No-Hostname,200.139.26.250,No-Hostname
1741395927,2025-03-07 22:05:27,10,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1741396923,2025-03-07 22:22:03,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1741396923,2025-03-07 22:22:03,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1741396923,2025-03-07 22:22:03,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1741396923,2025-03-07 22:22:03,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1741396923,2025-03-07 22:22:03,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,No-IP,No-Hostname
1741396923,2025-03-07 22:22:03,6,No-IP,No-Hostname,No-IP,No-Hostname
1741396923,2025-03-07 22:22:03,7,No-IP,No-Hostname,170.79.214.53,bto2-cto1.bkb.rnp.br
1741396923,2025-03-07 22:22:03,8,170.79.214.53,bto2-cto1.bkb.rnp.br,No-IP,No-Hostname
1741396923,2025-03-07 22:22:03,9,No-IP,No-Hostname,200.139.26.250,No-Hostname
1741396923,2025-03-07 22:22:03,10,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1741397196,2025-03-07 22:26:36,1,No-IP,No-Hostname,No-IP,No-Hostname
1741397196,2025-03-07 22:26:36,2,No-IP,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1741397196,2025-03-07 22:26:36,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1741397196,2025-03-07 22:26:36,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1741397196,2025-03-07 22:26:36,5,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1741397196,2025-03-07 22:26:36,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1741397196,2025-03-07 22:26:36,7,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,No-IP,No-Hostname
1741397196,2025-03-07 22:26:36,8,No-IP,No-Hostname,200.139.26.231,No-Hostname
1741397196,2025-03-07 22:26:36,9,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
1741397196,2025-03-07 22:26:36,10,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1741398913,2025-03-07 22:55:13,1,200.129.143.222,gateway,200.129.143.94,No-Hostname
1741398913,2025-03-07 22:55:13,2,200.129.143.94,No-Hostname,170.79.213.117,crr2-crr1.bkb.rnp.br
1741398913,2025-03-07 22:55:13,3,170.79.213.117,crr2-crr1.bkb.rnp.br,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br
1741398913,2025-03-07 22:55:13,4,170.79.213.251,mxam-crr2-sidi.bkb.rnp.br,No-IP,No-Hostname
1741398913,2025-03-07 22:55:13,5,No-IP,No-Hostname,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1741398913,2025-03-07 22:55:13,6,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1741398913,2025-03-07 22:55:13,7,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,No-IP,No-Hostname
1741398913,2025-03-07 22:55:13,8,No-IP,No-Hostname,200.139.26.231,No-Hostname
