Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752169050,2025-07-10 14:37:30,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1752169050,2025-07-10 14:37:30,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1752169050,2025-07-10 14:37:30,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1752169050,2025-07-10 14:37:30,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1752169050,2025-07-10 14:37:30,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1752169050,2025-07-10 14:37:30,6,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752169050,2025-07-10 14:37:30,7,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752169050,2025-07-10 14:37:30,8,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752169877,2025-07-10 14:51:17,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1752169877,2025-07-10 14:51:17,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1752169877,2025-07-10 14:51:17,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1752169877,2025-07-10 14:51:17,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1752169877,2025-07-10 14:51:17,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1752169877,2025-07-10 14:51:17,6,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752169877,2025-07-10 14:51:17,7,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752169877,2025-07-10 14:51:17,8,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752170325,2025-07-10 14:58:45,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1752170325,2025-07-10 14:58:45,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1752170325,2025-07-10 14:58:45,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1752170325,2025-07-10 14:58:45,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1752170325,2025-07-10 14:58:45,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1752170325,2025-07-10 14:58:45,6,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752170325,2025-07-10 14:58:45,7,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752170325,2025-07-10 14:58:45,8,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752171243,2025-07-10 15:14:03,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1752171243,2025-07-10 15:14:03,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1752171243,2025-07-10 15:14:03,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1752171243,2025-07-10 15:14:03,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1752171243,2025-07-10 15:14:03,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1752171243,2025-07-10 15:14:03,6,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752171243,2025-07-10 15:14:03,7,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752171243,2025-07-10 15:14:03,8,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752173428,2025-07-10 15:50:28,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1752173428,2025-07-10 15:50:28,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1752173428,2025-07-10 15:50:28,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1752173428,2025-07-10 15:50:28,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1752173428,2025-07-10 15:50:28,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
1752173428,2025-07-10 15:50:28,6,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br,170.79.214.91,bes1-ces1.bkb.rnp.br
1752173428,2025-07-10 15:50:28,7,170.79.214.91,bes1-ces1.bkb.rnp.br,200.137.84.125,No-Hostname
1752173428,2025-07-10 15:50:28,8,200.137.84.125,No-Hostname,200.137.76.138,monipe-es-atraso.rnp.br
1752174109,2025-07-10 16:01:49,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1752174109,2025-07-10 16:01:49,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1752174109,2025-07-10 16:01:49,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1752174109,2025-07-10 16:01:49,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br
1752174109,2025-07-10 16:01:49,5,170.79.213.44,crj1-csp1-furnas.bkb.rnp.br,170.79.213.196,ces1-crj1-100g-telebras.bkb.rnp.br
