Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741288206,2025-03-06 16:10:06,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1741288206,2025-03-06 16:10:06,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1741288206,2025-03-06 16:10:06,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1741288206,2025-03-06 16:10:06,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.214.61,bpr1-cpr1.bkb.rnp.br
1741288206,2025-03-06 16:10:06,5,170.79.214.61,bpr1-cpr1.bkb.rnp.br,200.238.139.18,No-Hostname
1741288206,2025-03-06 16:10:06,6,200.238.139.18,No-Hostname,200.238.139.34,No-Hostname
1741288206,2025-03-06 16:10:06,7,200.238.139.34,No-Hostname,200.134.255.5,monipe-pr-atraso.rnp.br
1741289181,2025-03-06 16:26:21,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1741289181,2025-03-06 16:26:21,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1741289181,2025-03-06 16:26:21,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1741289181,2025-03-06 16:26:21,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.214.61,bpr1-cpr1.bkb.rnp.br
1741289181,2025-03-06 16:26:21,5,170.79.214.61,bpr1-cpr1.bkb.rnp.br,200.238.139.18,No-Hostname
1741289181,2025-03-06 16:26:21,6,200.238.139.18,No-Hostname,200.238.139.34,No-Hostname
1741289181,2025-03-06 16:26:21,7,200.238.139.34,No-Hostname,200.134.255.5,monipe-pr-atraso.rnp.br
1741289687,2025-03-06 16:34:47,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1741289687,2025-03-06 16:34:47,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1741289687,2025-03-06 16:34:47,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1741289687,2025-03-06 16:34:47,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.214.61,bpr1-cpr1.bkb.rnp.br
1741289687,2025-03-06 16:34:47,5,170.79.214.61,bpr1-cpr1.bkb.rnp.br,200.238.139.18,No-Hostname
1741289687,2025-03-06 16:34:47,6,200.238.139.18,No-Hostname,200.238.139.34,No-Hostname
1741289687,2025-03-06 16:34:47,7,200.238.139.34,No-Hostname,200.134.255.5,monipe-pr-atraso.rnp.br
1741290332,2025-03-06 16:45:32,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1741290332,2025-03-06 16:45:32,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1741290332,2025-03-06 16:45:32,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1741290332,2025-03-06 16:45:32,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.214.61,bpr1-cpr1.bkb.rnp.br
1741290332,2025-03-06 16:45:32,5,170.79.214.61,bpr1-cpr1.bkb.rnp.br,200.238.139.18,No-Hostname
1741290332,2025-03-06 16:45:32,6,200.238.139.18,No-Hostname,200.238.139.34,No-Hostname
