Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741293370,2025-03-06 17:36:10,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1741293370,2025-03-06 17:36:10,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1741293370,2025-03-06 17:36:10,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.231,csp2-cpr2-100g-brdigital.bkb.rnp.br
1741293370,2025-03-06 17:36:10,4,170.79.213.231,csp2-cpr2-100g-brdigital.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1741293370,2025-03-06 17:36:10,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1741293370,2025-03-06 17:36:10,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1741293370,2025-03-06 17:36:10,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1741293370,2025-03-06 17:36:10,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1741293546,2025-03-06 17:39:06,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1741293546,2025-03-06 17:39:06,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1741293546,2025-03-06 17:39:06,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.231,csp2-cpr2-100g-brdigital.bkb.rnp.br
1741293546,2025-03-06 17:39:06,4,170.79.213.231,csp2-cpr2-100g-brdigital.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1741293546,2025-03-06 17:39:06,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1741293546,2025-03-06 17:39:06,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1741293546,2025-03-06 17:39:06,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1741293546,2025-03-06 17:39:06,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1741294204,2025-03-06 17:50:04,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1741294204,2025-03-06 17:50:04,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1741294204,2025-03-06 17:50:04,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.231,csp2-cpr2-100g-brdigital.bkb.rnp.br
1741294204,2025-03-06 17:50:04,4,170.79.213.231,csp2-cpr2-100g-brdigital.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1741294204,2025-03-06 17:50:04,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1741294204,2025-03-06 17:50:04,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1741294204,2025-03-06 17:50:04,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1741294204,2025-03-06 17:50:04,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1741295575,2025-03-06 18:12:55,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
