Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1745859256,2025-04-28 13:54:16,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1745859256,2025-04-28 13:54:16,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1745859256,2025-04-28 13:54:16,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1745859256,2025-04-28 13:54:16,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br
1745859256,2025-04-28 13:54:16,5,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br,170.79.214.17,bsc1-csc1.bkb.rnp.br
1745859256,2025-04-28 13:54:16,6,170.79.214.17,bsc1-csc1.bkb.rnp.br,200.237.194.45,rt-sc-pop-dt-sw-ufsc-br-rt-ufsc.bb.pop-sc.rnp.br
1745859256,2025-04-28 13:54:16,7,200.237.194.45,rt-sc-pop-dt-sw-ufsc-br-rt-ufsc.bb.pop-sc.rnp.br,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br
1745859256,2025-04-28 13:54:16,8,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br,200.237.196.20,monipe-sc-atraso.rnp.br
1745859880,2025-04-28 14:04:40,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1745859880,2025-04-28 14:04:40,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1745859880,2025-04-28 14:04:40,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1745859880,2025-04-28 14:04:40,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br
1745859880,2025-04-28 14:04:40,5,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br,170.79.214.17,bsc1-csc1.bkb.rnp.br
1745859880,2025-04-28 14:04:40,6,170.79.214.17,bsc1-csc1.bkb.rnp.br,200.237.194.45,rt-sc-pop-dt-sw-ufsc-br-rt-ufsc.bb.pop-sc.rnp.br
1745859880,2025-04-28 14:04:40,7,200.237.194.45,rt-sc-pop-dt-sw-ufsc-br-rt-ufsc.bb.pop-sc.rnp.br,200.237.205.140,popsc-3226-sw92-sw93.bb.pop-sc.rnp.br
