Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1739885943,2025-02-18 10:39:03,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1739885943,2025-02-18 10:39:03,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1739885943,2025-02-18 10:39:03,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1739885943,2025-02-18 10:39:03,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1739885943,2025-02-18 10:39:03,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1739886962,2025-02-18 10:56:02,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1739886962,2025-02-18 10:56:02,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1739886962,2025-02-18 10:56:02,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1739886962,2025-02-18 10:56:02,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1739886962,2025-02-18 10:56:02,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1739887594,2025-02-18 11:06:34,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1739887594,2025-02-18 11:06:34,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1739887594,2025-02-18 11:06:34,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1739887594,2025-02-18 11:06:34,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1739887594,2025-02-18 11:06:34,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1739888109,2025-02-18 11:15:09,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1739888109,2025-02-18 11:15:09,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br
1739888109,2025-02-18 11:15:09,3,170.79.212.254,cpr1-crs1-eltsul.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1739888109,2025-02-18 11:15:09,4,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1739888109,2025-02-18 11:15:09,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1739888581,2025-02-18 11:23:01,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
