Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743201212,2025-03-28 19:33:32,1,200.17.118.129,core0.pop-se.rnp.br,200.133.15.98,No-Hostname
1743201212,2025-03-28 19:33:32,2,200.133.15.98,No-Hostname,200.133.15.102,No-Hostname
1743201212,2025-03-28 19:33:32,3,200.133.15.102,No-Hostname,200.143.255.185,se-lanse.bkb.rnp.br
1743201212,2025-03-28 19:33:32,4,200.143.255.185,se-lanse.bkb.rnp.br,170.79.213.43,cal1-mxse-chesf.bkb.rnp.br
1743201212,2025-03-28 19:33:32,5,170.79.213.43,cal1-mxse-chesf.bkb.rnp.br,170.79.213.27,cal1-cpe1-chesf.bkb.rnp.br
1743201212,2025-03-28 19:33:32,6,170.79.213.27,cal1-cpe1-chesf.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1743201212,2025-03-28 19:33:32,7,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1743201212,2025-03-28 19:33:32,8,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1743201212,2025-03-28 19:33:32,9,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.138,cce1-cce2.bkb.rnp.br
1743201212,2025-03-28 19:33:32,10,170.79.213.138,cce1-cce2.bkb.rnp.br,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br
1743201212,2025-03-28 19:33:32,11,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743201212,2025-03-28 19:33:32,12,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1743201212,2025-03-28 19:33:32,13,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1743201212,2025-03-28 19:33:32,14,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1743201839,2025-03-28 19:43:59,1,200.17.118.129,core0.pop-se.rnp.br,200.133.15.98,No-Hostname
1743201839,2025-03-28 19:43:59,2,200.133.15.98,No-Hostname,200.133.15.102,No-Hostname
1743201839,2025-03-28 19:43:59,3,200.133.15.102,No-Hostname,200.143.255.185,se-lanse.bkb.rnp.br
1743201839,2025-03-28 19:43:59,4,200.143.255.185,se-lanse.bkb.rnp.br,170.79.213.43,cal1-mxse-chesf.bkb.rnp.br
1743201839,2025-03-28 19:43:59,5,170.79.213.43,cal1-mxse-chesf.bkb.rnp.br,170.79.213.27,cal1-cpe1-chesf.bkb.rnp.br
1743201839,2025-03-28 19:43:59,6,170.79.213.27,cal1-cpe1-chesf.bkb.rnp.br,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br
1743201839,2025-03-28 19:43:59,7,170.79.213.9,cpb1-pe-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1743201839,2025-03-28 19:43:59,8,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br
1743201839,2025-03-28 19:43:59,9,170.79.213.41,cce2-crn1-chesf.bkb.rnp.br,170.79.213.138,cce1-cce2.bkb.rnp.br
1743201839,2025-03-28 19:43:59,10,170.79.213.138,cce1-cce2.bkb.rnp.br,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br
1743201839,2025-03-28 19:43:59,11,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1743201839,2025-03-28 19:43:59,12,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1743201839,2025-03-28 19:43:59,13,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1743201839,2025-03-28 19:43:59,14,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1743202490,2025-03-28 19:54:50,1,200.17.118.129,core0.pop-se.rnp.br,200.133.15.98,No-Hostname
1743202490,2025-03-28 19:54:50,2,200.133.15.98,No-Hostname,200.133.15.102,No-Hostname
1743202490,2025-03-28 19:54:50,3,200.133.15.102,No-Hostname,200.143.255.185,se-lanse.bkb.rnp.br
1743202490,2025-03-28 19:54:50,4,200.143.255.185,se-lanse.bkb.rnp.br,170.79.213.43,cal1-mxse-chesf.bkb.rnp.br
