Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752503069,2025-07-14 11:24:29,1,200.17.118.129,No-Hostname,170.79.214.222,No-Hostname
1752503069,2025-07-14 11:24:29,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1752503069,2025-07-14 11:24:29,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752503069,2025-07-14 11:24:29,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br
1752503069,2025-07-14 11:24:29,5,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1752503069,2025-07-14 11:24:29,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1752503069,2025-07-14 11:24:29,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1752504142,2025-07-14 11:42:22,1,200.17.118.129,gateway,170.79.214.222,No-Hostname
1752504142,2025-07-14 11:42:22,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1752504142,2025-07-14 11:42:22,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1752504142,2025-07-14 11:42:22,4,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br
1752504142,2025-07-14 11:42:22,5,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1752504142,2025-07-14 11:42:22,6,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1752504142,2025-07-14 11:42:22,7,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1752504596,2025-07-14 11:49:56,1,200.17.118.129,gateway,170.79.214.222,No-Hostname
1752504596,2025-07-14 11:49:56,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
