Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744639737,2025-04-14 11:08:57,1,200.17.118.129,gateway,200.143.255.185,se-lanse.bkb.rnp.br
1744639737,2025-04-14 11:08:57,2,200.143.255.185,se-lanse.bkb.rnp.br,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1744639737,2025-04-14 11:08:57,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.160,ces1-cba1-infobarra.bkb.rnp.br
1744639737,2025-04-14 11:08:57,4,170.79.213.160,ces1-cba1-infobarra.bkb.rnp.br,170.79.213.151,crj2-ces1-infobarra.bkb.rnp.br
1744639737,2025-04-14 11:08:57,5,170.79.213.151,crj2-ces1-infobarra.bkb.rnp.br,170.79.213.164,cmg2-crj2-wirelink.bkb.rnp.br
1744639737,2025-04-14 11:08:57,6,170.79.213.164,cmg2-crj2-wirelink.bkb.rnp.br,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br
1744639737,2025-04-14 11:08:57,7,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1744639737,2025-04-14 11:08:57,8,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744639737,2025-04-14 11:08:57,9,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1744639737,2025-04-14 11:08:57,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1744640364,2025-04-14 11:19:24,1,200.17.118.129,gateway,200.143.255.185,se-lanse.bkb.rnp.br
1744640364,2025-04-14 11:19:24,2,200.143.255.185,se-lanse.bkb.rnp.br,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1744640364,2025-04-14 11:19:24,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.160,ces1-cba1-infobarra.bkb.rnp.br
1744640364,2025-04-14 11:19:24,4,170.79.213.160,ces1-cba1-infobarra.bkb.rnp.br,170.79.213.151,crj2-ces1-infobarra.bkb.rnp.br
1744640364,2025-04-14 11:19:24,5,170.79.213.151,crj2-ces1-infobarra.bkb.rnp.br,170.79.213.164,cmg2-crj2-wirelink.bkb.rnp.br
1744640364,2025-04-14 11:19:24,6,170.79.213.164,cmg2-crj2-wirelink.bkb.rnp.br,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br
1744640364,2025-04-14 11:19:24,7,170.79.213.162,cdf1-cmg1-mobiwire.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1744640364,2025-04-14 11:19:24,8,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744640364,2025-04-14 11:19:24,9,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1744640364,2025-04-14 11:19:24,10,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1744641325,2025-04-14 11:35:25,1,200.17.118.129,gateway,200.143.255.185,se-lanse.bkb.rnp.br
1744641325,2025-04-14 11:35:25,2,200.143.255.185,se-lanse.bkb.rnp.br,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1744641325,2025-04-14 11:35:25,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
