Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752503621,2025-07-14 11:33:41,1,200.17.118.129,gateway,170.79.214.222,No-Hostname
1752503621,2025-07-14 11:33:41,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1752503621,2025-07-14 11:33:41,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1752503621,2025-07-14 11:33:41,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1752503621,2025-07-14 11:33:41,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1752503621,2025-07-14 11:33:41,6,200.129.143.93,No-Hostname,No-IP,No-Hostname
1752503621,2025-07-14 11:33:41,7,No-IP,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1752504508,2025-07-14 11:48:28,1,200.17.118.129,gateway,170.79.214.222,No-Hostname
1752504508,2025-07-14 11:48:28,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1752504508,2025-07-14 11:48:28,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1752504508,2025-07-14 11:48:28,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1752504508,2025-07-14 11:48:28,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1752504508,2025-07-14 11:48:28,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1752505146,2025-07-14 11:59:06,1,200.17.118.129,gateway,170.79.214.222,No-Hostname
1752505146,2025-07-14 11:59:06,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1752505146,2025-07-14 11:59:06,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1752505146,2025-07-14 11:59:06,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1752505146,2025-07-14 11:59:06,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1752505146,2025-07-14 11:59:06,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1752505714,2025-07-14 12:08:34,1,200.17.118.129,gateway,170.79.214.222,No-Hostname
1752505714,2025-07-14 12:08:34,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1752505714,2025-07-14 12:08:34,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1752505714,2025-07-14 12:08:34,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1752505714,2025-07-14 12:08:34,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1752505714,2025-07-14 12:08:34,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1752506474,2025-07-14 12:21:14,1,200.17.118.129,gateway,170.79.214.222,No-Hostname
1752506474,2025-07-14 12:21:14,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1752506474,2025-07-14 12:21:14,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1752506474,2025-07-14 12:21:14,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1752506474,2025-07-14 12:21:14,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1752506474,2025-07-14 12:21:14,6,200.129.143.93,No-Hostname,No-IP,No-Hostname
1752506474,2025-07-14 12:21:14,7,No-IP,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1752507030,2025-07-14 12:30:30,1,200.17.118.129,gateway,170.79.214.222,No-Hostname
1752507030,2025-07-14 12:30:30,2,170.79.214.222,No-Hostname,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br
1752507030,2025-07-14 12:30:30,3,170.79.213.28,cba1-mxse-chesf.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1752507030,2025-07-14 12:30:30,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1752507030,2025-07-14 12:30:30,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1752507030,2025-07-14 12:30:30,6,200.129.143.93,No-Hostname,No-IP,No-Hostname
