Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743176961,2025-03-28 12:49:21,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1743176961,2025-03-28 12:49:21,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.96,cdf1-csp1-claro.bkb.rnp.br
1743176961,2025-03-28 12:49:21,3,170.79.213.96,cdf1-csp1-claro.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1743176961,2025-03-28 12:49:21,4,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1743176961,2025-03-28 12:49:21,5,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1743176961,2025-03-28 12:49:21,6,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1743177706,2025-03-28 13:01:46,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1743177706,2025-03-28 13:01:46,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
1743177706,2025-03-28 13:01:46,3,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1743177706,2025-03-28 13:01:46,4,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1743177706,2025-03-28 13:01:46,5,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1743178196,2025-03-28 13:09:56,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1743178196,2025-03-28 13:09:56,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
1743178196,2025-03-28 13:09:56,3,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br,170.79.214.115,bdf2-cdf2.bkb.rnp.br
1743178196,2025-03-28 13:09:56,4,170.79.214.115,bdf2-cdf2.bkb.rnp.br,200.130.101.213,No-Hostname
1743178196,2025-03-28 13:09:56,5,200.130.101.213,No-Hostname,200.19.119.122,monipe-df-atraso.rnp.br
1743179038,2025-03-28 13:23:58,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1743179038,2025-03-28 13:23:58,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
