Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1742308022,2025-03-18 11:27:02,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742308022,2025-03-18 11:27:02,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1742308022,2025-03-18 11:27:02,3,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1742308022,2025-03-18 11:27:02,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1742308022,2025-03-18 11:27:02,5,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1742308022,2025-03-18 11:27:02,6,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1742308022,2025-03-18 11:27:02,7,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1742308022,2025-03-18 11:27:02,8,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1742308022,2025-03-18 11:27:02,9,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1742308664,2025-03-18 11:37:44,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742308664,2025-03-18 11:37:44,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1742308664,2025-03-18 11:37:44,3,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1742308664,2025-03-18 11:37:44,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1742308664,2025-03-18 11:37:44,5,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1742308664,2025-03-18 11:37:44,6,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1742308664,2025-03-18 11:37:44,7,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1742308664,2025-03-18 11:37:44,8,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1742308664,2025-03-18 11:37:44,9,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1742309748,2025-03-18 11:55:48,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742309748,2025-03-18 11:55:48,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1742309748,2025-03-18 11:55:48,3,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1742309748,2025-03-18 11:55:48,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1742309748,2025-03-18 11:55:48,5,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1742309748,2025-03-18 11:55:48,6,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1742309748,2025-03-18 11:55:48,7,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1742309748,2025-03-18 11:55:48,8,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1742309748,2025-03-18 11:55:48,9,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1742309973,2025-03-18 11:59:33,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742309973,2025-03-18 11:59:33,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1742309973,2025-03-18 11:59:33,3,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1742309973,2025-03-18 11:59:33,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1742309973,2025-03-18 11:59:33,5,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1742309973,2025-03-18 11:59:33,6,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1742309973,2025-03-18 11:59:33,7,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1742309973,2025-03-18 11:59:33,8,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1742309973,2025-03-18 11:59:33,9,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1742310910,2025-03-18 12:15:10,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742310910,2025-03-18 12:15:10,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1742310910,2025-03-18 12:15:10,3,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1742310910,2025-03-18 12:15:10,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1742310910,2025-03-18 12:15:10,5,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1742310910,2025-03-18 12:15:10,6,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1742310910,2025-03-18 12:15:10,7,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1742310910,2025-03-18 12:15:10,8,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1742310910,2025-03-18 12:15:10,9,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1742311469,2025-03-18 12:24:29,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742311469,2025-03-18 12:24:29,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1742311469,2025-03-18 12:24:29,3,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1742311469,2025-03-18 12:24:29,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1742311469,2025-03-18 12:24:29,5,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1742311469,2025-03-18 12:24:29,6,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1742311469,2025-03-18 12:24:29,7,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1742311469,2025-03-18 12:24:29,8,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1742311469,2025-03-18 12:24:29,9,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1742311667,2025-03-18 12:27:47,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742311667,2025-03-18 12:27:47,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1742311667,2025-03-18 12:27:47,3,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1742311667,2025-03-18 12:27:47,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br
1742311667,2025-03-18 12:27:47,5,170.79.213.10,cpb1-crn1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1742311667,2025-03-18 12:27:47,6,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1742311667,2025-03-18 12:27:47,7,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1742311667,2025-03-18 12:27:47,8,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1742311667,2025-03-18 12:27:47,9,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1742312513,2025-03-18 12:41:53,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742312513,2025-03-18 12:41:53,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1742312513,2025-03-18 12:41:53,3,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
