Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1742307680,2025-03-18 11:21:20,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742307680,2025-03-18 11:21:20,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742307680,2025-03-18 11:21:20,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742307680,2025-03-18 11:21:20,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742307680,2025-03-18 11:21:20,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742307680,2025-03-18 11:21:20,6,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742307680,2025-03-18 11:21:20,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742309218,2025-03-18 11:46:58,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742309218,2025-03-18 11:46:58,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.96,cdf1-csp1-claro.bkb.rnp.br
1742309218,2025-03-18 11:46:58,3,170.79.213.96,cdf1-csp1-claro.bkb.rnp.br,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br
1742309218,2025-03-18 11:46:58,4,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br
1742309218,2025-03-18 11:46:58,5,170.79.213.171,cmt1-mxgo-acessonline.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742309218,2025-03-18 11:46:58,6,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742309218,2025-03-18 11:46:58,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742309858,2025-03-18 11:57:38,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742309858,2025-03-18 11:57:38,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742309858,2025-03-18 11:57:38,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742309858,2025-03-18 11:57:38,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742309858,2025-03-18 11:57:38,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742309858,2025-03-18 11:57:38,6,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742309858,2025-03-18 11:57:38,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742310524,2025-03-18 12:08:44,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742310524,2025-03-18 12:08:44,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742310524,2025-03-18 12:08:44,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742310524,2025-03-18 12:08:44,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742310524,2025-03-18 12:08:44,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742310524,2025-03-18 12:08:44,6,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742310524,2025-03-18 12:08:44,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742311208,2025-03-18 12:20:08,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742311208,2025-03-18 12:20:08,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742311208,2025-03-18 12:20:08,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742311208,2025-03-18 12:20:08,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742311208,2025-03-18 12:20:08,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742311208,2025-03-18 12:20:08,6,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742311208,2025-03-18 12:20:08,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742311338,2025-03-18 12:22:18,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742311338,2025-03-18 12:22:18,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742311338,2025-03-18 12:22:18,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742311338,2025-03-18 12:22:18,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742311338,2025-03-18 12:22:18,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742311338,2025-03-18 12:22:18,6,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742311338,2025-03-18 12:22:18,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742312211,2025-03-18 12:36:51,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742312211,2025-03-18 12:36:51,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742312211,2025-03-18 12:36:51,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742312211,2025-03-18 12:36:51,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742312211,2025-03-18 12:36:51,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742312211,2025-03-18 12:36:51,6,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742312211,2025-03-18 12:36:51,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742312551,2025-03-18 12:42:31,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742312551,2025-03-18 12:42:31,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742312551,2025-03-18 12:42:31,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742312551,2025-03-18 12:42:31,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742312551,2025-03-18 12:42:31,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1742312551,2025-03-18 12:42:31,6,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742312551,2025-03-18 12:42:31,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742313206,2025-03-18 12:53:26,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742313206,2025-03-18 12:53:26,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742313206,2025-03-18 12:53:26,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742313206,2025-03-18 12:53:26,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742313206,2025-03-18 12:53:26,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1742313206,2025-03-18 12:53:26,6,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742313206,2025-03-18 12:53:26,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742313835,2025-03-18 13:03:55,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742313835,2025-03-18 13:03:55,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742313835,2025-03-18 13:03:55,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742313835,2025-03-18 13:03:55,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742313835,2025-03-18 13:03:55,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1742313835,2025-03-18 13:03:55,6,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1742313835,2025-03-18 13:03:55,7,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1742314496,2025-03-18 13:14:56,1,10.0.100.1,No-Hostname,170.79.214.38,csp1-bsp1.bkb.rnp.br
1742314496,2025-03-18 13:14:56,2,170.79.214.38,csp1-bsp1.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1742314496,2025-03-18 13:14:56,3,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br
1742314496,2025-03-18 13:14:56,4,170.79.213.172,mxms-cpr1-acessoline.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1742314496,2025-03-18 13:14:56,5,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
