Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1739886209,2025-02-18 10:43:29,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1739886209,2025-02-18 10:43:29,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.230,No-Hostname
1739886209,2025-02-18 10:43:29,3,200.139.26.230,No-Hostname,170.79.214.52,cto1-bto2.bkb.rnp.br
1739886209,2025-02-18 10:43:29,4,170.79.214.52,cto1-bto2.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1739886209,2025-02-18 10:43:29,5,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1739886209,2025-02-18 10:43:29,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1739886209,2025-02-18 10:43:29,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1739886209,2025-02-18 10:43:29,8,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1739886209,2025-02-18 10:43:29,9,200.129.75.6,No-Hostname,No-IP,No-Hostname
1739886209,2025-02-18 10:43:29,10,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1739886502,2025-02-18 10:48:22,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1739886502,2025-02-18 10:48:22,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.230,No-Hostname
1739886502,2025-02-18 10:48:22,3,200.139.26.230,No-Hostname,170.79.214.52,cto1-bto2.bkb.rnp.br
1739886502,2025-02-18 10:48:22,4,170.79.214.52,cto1-bto2.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1739886502,2025-02-18 10:48:22,5,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1739886502,2025-02-18 10:48:22,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1739886502,2025-02-18 10:48:22,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1739886502,2025-02-18 10:48:22,8,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1739886502,2025-02-18 10:48:22,9,200.129.75.6,No-Hostname,No-IP,No-Hostname
1739886502,2025-02-18 10:48:22,10,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
