Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1747305827,2025-05-15 07:43:47,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1747305827,2025-05-15 07:43:47,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.228,No-Hostname
1747305827,2025-05-15 07:43:47,3,200.139.26.228,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1747305827,2025-05-15 07:43:47,4,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br
1747305827,2025-05-15 07:43:47,5,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747305827,2025-05-15 07:43:47,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1747305827,2025-05-15 07:43:47,7,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.213.43,cal1-mxse-chesf.bkb.rnp.br
1747305827,2025-05-15 07:43:47,8,170.79.213.43,cal1-mxse-chesf.bkb.rnp.br,170.79.213.27,cal1-cpe1-chesf.bkb.rnp.br
1747305827,2025-05-15 07:43:47,9,170.79.213.27,cal1-cpe1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1747305827,2025-05-15 07:43:47,10,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1747305827,2025-05-15 07:43:47,11,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1747305827,2025-05-15 07:43:47,12,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1747306299,2025-05-15 07:51:39,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1747306299,2025-05-15 07:51:39,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.228,No-Hostname
1747306299,2025-05-15 07:51:39,3,200.139.26.228,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1747306299,2025-05-15 07:51:39,4,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1747306299,2025-05-15 07:51:39,5,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747306299,2025-05-15 07:51:39,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1747306299,2025-05-15 07:51:39,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1747306299,2025-05-15 07:51:39,8,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1747306299,2025-05-15 07:51:39,9,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1747306299,2025-05-15 07:51:39,10,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1747306299,2025-05-15 07:51:39,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1747306999,2025-05-15 08:03:19,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1747306999,2025-05-15 08:03:19,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.228,No-Hostname
1747306999,2025-05-15 08:03:19,3,200.139.26.228,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1747306999,2025-05-15 08:03:19,4,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1747306999,2025-05-15 08:03:19,5,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747306999,2025-05-15 08:03:19,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1747306999,2025-05-15 08:03:19,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1747306999,2025-05-15 08:03:19,8,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1747306999,2025-05-15 08:03:19,9,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1747306999,2025-05-15 08:03:19,10,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1747306999,2025-05-15 08:03:19,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1747307615,2025-05-15 08:13:35,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1747307615,2025-05-15 08:13:35,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.228,No-Hostname
1747307615,2025-05-15 08:13:35,3,200.139.26.228,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1747307615,2025-05-15 08:13:35,4,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1747307615,2025-05-15 08:13:35,5,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747307615,2025-05-15 08:13:35,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1747307615,2025-05-15 08:13:35,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1747307615,2025-05-15 08:13:35,8,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1747307615,2025-05-15 08:13:35,9,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1747307615,2025-05-15 08:13:35,10,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1747307615,2025-05-15 08:13:35,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1747308487,2025-05-15 08:28:07,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1747308487,2025-05-15 08:28:07,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.228,No-Hostname
1747308487,2025-05-15 08:28:07,3,200.139.26.228,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1747308487,2025-05-15 08:28:07,4,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br
1747308487,2025-05-15 08:28:07,5,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747308487,2025-05-15 08:28:07,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1747308487,2025-05-15 08:28:07,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1747308487,2025-05-15 08:28:07,8,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1747308487,2025-05-15 08:28:07,9,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1747308487,2025-05-15 08:28:07,10,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1747308487,2025-05-15 08:28:07,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1747309055,2025-05-15 08:37:35,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1747309055,2025-05-15 08:37:35,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.228,No-Hostname
1747309055,2025-05-15 08:37:35,3,200.139.26.228,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1747309055,2025-05-15 08:37:35,4,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br
1747309055,2025-05-15 08:37:35,5,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747309055,2025-05-15 08:37:35,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1747309055,2025-05-15 08:37:35,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br
1747309055,2025-05-15 08:37:35,8,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.151,bpe2-cpe1.bkb.rnp.br
1747309055,2025-05-15 08:37:35,9,170.79.214.151,bpe2-cpe1.bkb.rnp.br,200.133.31.240,No-Hostname
1747309055,2025-05-15 08:37:35,10,200.133.31.240,No-Hostname,200.133.31.237,No-Hostname
1747309055,2025-05-15 08:37:35,11,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br
1747309592,2025-05-15 08:46:32,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1747309592,2025-05-15 08:46:32,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.228,No-Hostname
1747309592,2025-05-15 08:46:32,3,200.139.26.228,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1747309592,2025-05-15 08:46:32,4,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br
1747309592,2025-05-15 08:46:32,5,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747309592,2025-05-15 08:46:32,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
