Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752505933,2025-07-14 12:12:13,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.242,No-Hostname
1752505933,2025-07-14 12:12:13,2,200.139.26.242,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1752505933,2025-07-14 12:12:13,3,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1752505933,2025-07-14 12:12:13,4,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br
1752505933,2025-07-14 12:12:13,5,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br,170.79.213.123,csp2-csp1.bkb.rnp.br
1752505933,2025-07-14 12:12:13,6,170.79.213.123,csp2-csp1.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1752505933,2025-07-14 12:12:13,7,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1752505933,2025-07-14 12:12:13,8,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752506546,2025-07-14 12:22:26,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.242,No-Hostname
1752506546,2025-07-14 12:22:26,2,200.139.26.242,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1752506546,2025-07-14 12:22:26,3,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1752506546,2025-07-14 12:22:26,4,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br
1752506546,2025-07-14 12:22:26,5,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br
1752506546,2025-07-14 12:22:26,6,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br,170.79.213.238,csc1-csc2-rnp.bkb.rnp.br
1752506546,2025-07-14 12:22:26,7,170.79.213.238,csc1-csc2-rnp.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1752506546,2025-07-14 12:22:26,8,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1752506546,2025-07-14 12:22:26,9,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1752507285,2025-07-14 12:34:45,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.242,No-Hostname
1752507285,2025-07-14 12:34:45,2,200.139.26.242,No-Hostname,170.79.214.66,cto1-bto1.bkb.rnp.br
1752507285,2025-07-14 12:34:45,3,170.79.214.66,cto1-bto1.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1752507285,2025-07-14 12:34:45,4,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br
1752507285,2025-07-14 12:34:45,5,170.79.213.95,csp1-cdf2-claro.bkb.rnp.br,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br
1752507285,2025-07-14 12:34:45,6,170.79.213.178,csc2-csp1-brdigital.bkb.rnp.br,170.79.213.238,csc1-csc2-rnp.bkb.rnp.br
