Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname,Estado_Origem_Viagem,Estado_Destino_Viagem,Estado_Deduzido
1752166385,2025-07-10 13:53:05,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname,AC,AM,AC
1752166385,2025-07-10 13:53:05,2,200.139.4.20,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br,AC,AM,AC
1752166385,2025-07-10 13:53:05,3,170.79.214.218,mxac-bac1.bkb.rnp.br,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br,AC,AM,
1752166385,2025-07-10 13:53:05,4,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,AC,AM,
1752166385,2025-07-10 13:53:05,5,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,AC,AM,
1752166385,2025-07-10 13:53:05,6,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br,AC,AM,
1752166385,2025-07-10 13:53:05,7,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,AC,AM,
1752166385,2025-07-10 13:53:05,8,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,AC,AM,
1752166385,2025-07-10 13:53:05,9,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.213.24,No-Hostname,AC,AM,
1752166385,2025-07-10 13:53:05,10,170.79.213.24,No-Hostname,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,AC,AM,
1752166385,2025-07-10 13:53:05,11,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname,AC,AM,AM
1752166385,2025-07-10 13:53:05,12,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br,AC,AM,AM
1752167309,2025-07-10 14:08:29,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname,AC,AM,AC
1752167309,2025-07-10 14:08:29,2,200.139.4.20,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br,AC,AM,AC
